# Identifier	Cytoplasmic effector	Apoplastic effector	Non-effector	Prediction
FUN_001106-T1 FUN_001106	-	-	Y (0.582)	Non-effector
FUN_001107-T1 FUN_001107	-	-	Y (0.641)	Non-effector
FUN_001108-T1 FUN_001108	-	-	Y (0.832)	Non-effector
FUN_001109-T1 FUN_001109	-	-	Y (0.889)	Non-effector
FUN_001110-T1 FUN_001110	-	-	Y (0.513)	Non-effector
FUN_001111-T1 FUN_001111	Y (0.828)	-	-	Cytoplasmic effector
FUN_001112-T1 FUN_001112	-	-	Y (0.944)	Non-effector
FUN_001113-T1 FUN_001113	Y (0.549)	-	-	Cytoplasmic effector
FUN_001114-T1 FUN_001114	Y (0.676)	-	-	Cytoplasmic effector
FUN_001115-T1 FUN_001115	-	-	Y (0.807)	Non-effector
FUN_001116-T1 FUN_001116	-	-	Y (0.849)	Non-effector
FUN_001116-T2 FUN_001116	-	-	Y (0.75)	Non-effector
FUN_001117-T1 FUN_001117	-	-	Y (0.725)	Non-effector
FUN_001118-T1 FUN_001118	-	-	Y (0.752)	Non-effector
FUN_001119-T1 FUN_001119	Y (0.726)	-	-	Cytoplasmic effector
FUN_001120-T1 FUN_001120	-	-	Y (0.962)	Non-effector
FUN_001121-T1 FUN_001121	Y (0.818)	-	-	Cytoplasmic effector
FUN_001122-T1 FUN_001122	-	-	Y (0.556)	Non-effector
FUN_001123-T1 FUN_001123	-	Y (0.931)	-	Apoplastic effector
FUN_001124-T1 FUN_001124	Y (0.815)	-	-	Cytoplasmic effector
FUN_001125-T1 FUN_001125	Y (0.837)	-	-	Cytoplasmic effector
FUN_001126-T1 FUN_001126	-	-	Y (0.975)	Non-effector
FUN_001127-T1 FUN_001127	-	-	Y (0.746)	Non-effector
FUN_001128-T1 FUN_001128	-	-	Y (0.736)	Non-effector
FUN_001129-T1 FUN_001129	-	-	Y (0.957)	Non-effector
FUN_001129-T2 FUN_001129	-	-	Y (0.983)	Non-effector
FUN_001130-T1 FUN_001130	-	-	Y (0.663)	Non-effector
FUN_001131-T1 FUN_001131	-	-	Y (0.609)	Non-effector
FUN_001132-T1 FUN_001132	-	-	Y (0.95)	Non-effector
FUN_001133-T1 FUN_001133	Y (0.548)	-	-	Cytoplasmic effector
FUN_001134-T1 FUN_001134	-	-	Y (0.897)	Non-effector
FUN_001135-T1 FUN_001135	Y (0.719)	Y (0.589)	-	Cytoplasmic/apoplastic effector
FUN_001136-T1 FUN_001136	-	-	Y (0.836)	Non-effector
FUN_001137-T1 FUN_001137	-	-	Y (0.924)	Non-effector
FUN_001138-T1 FUN_001138	-	-	Y (0.561)	Non-effector
FUN_001139-T1 FUN_001139	-	-	Y (0.784)	Non-effector
FUN_001140-T1 FUN_001140	-	-	Y (0.608)	Non-effector
FUN_001141-T1 FUN_001141	Y (0.809)	-	-	Cytoplasmic effector
FUN_001142-T1 FUN_001142	Y (0.51)	-	-	Cytoplasmic effector
FUN_001143-T1 FUN_001143	-	-	Y (0.505)	Non-effector
FUN_001144-T1 FUN_001144	-	-	Y (0.806)	Non-effector
FUN_001145-T1 FUN_001145	-	-	Y (0.61)	Non-effector
FUN_001146-T1 FUN_001146	Y (0.537)	-	-	Cytoplasmic effector
FUN_001147-T1 FUN_001147	-	-	Y (0.89)	Non-effector
FUN_001148-T1 FUN_001148	Y (0.885)	-	-	Cytoplasmic effector
FUN_001149-T1 FUN_001149	-	-	Y (0.613)	Non-effector
FUN_001150-T1 FUN_001150	-	-	Y (0.913)	Non-effector
FUN_001151-T1 FUN_001151	-	-	Y (0.893)	Non-effector
FUN_001152-T1 FUN_001152	-	-	Y (0.682)	Non-effector
FUN_001152-T2 FUN_001152	-	-	Y (0.7)	Non-effector
FUN_001153-T1 FUN_001153	-	-	Y (0.513)	Non-effector
FUN_001154-T1 FUN_001154	-	-	Y (0.771)	Non-effector
FUN_001155-T1 FUN_001155	Y (0.524)	-	-	Cytoplasmic effector
FUN_001156-T1 FUN_001156	-	-	Y (0.894)	Non-effector
FUN_001156-T2 FUN_001156	-	-	Y (0.894)	Non-effector
FUN_001156-T3 FUN_001156	-	-	Y (0.894)	Non-effector
FUN_001157-T1 FUN_001157	-	-	Y (0.922)	Non-effector
FUN_001158-T1 FUN_001158	-	-	Y (0.906)	Non-effector
FUN_001159-T1 FUN_001159	-	Y (0.523)	-	Apoplastic effector
FUN_001159-T2 FUN_001159	-	Y (0.541)	-	Apoplastic effector
FUN_001160-T1 FUN_001160	-	Y (0.632)	-	Apoplastic effector
FUN_001161-T1 FUN_001161	Y (0.53)	Y (0.618)	-	Apoplastic/cytoplasmic effector
FUN_001162-T1 FUN_001162	Y (0.854)	-	-	Cytoplasmic effector
FUN_001163-T1 FUN_001163	-	-	Y (0.934)	Non-effector
FUN_001164-T1 FUN_001164	-	-	Y (0.599)	Non-effector
FUN_001165-T1 FUN_001165	-	-	Y (0.729)	Non-effector
FUN_001166-T1 FUN_001166	Y (0.61)	-	-	Cytoplasmic effector
FUN_001167-T1 FUN_001167	-	-	Y (0.957)	Non-effector
FUN_001168-T1 FUN_001168	Y (0.885)	-	-	Cytoplasmic effector
FUN_001169-T1 FUN_001169	-	-	Y (0.868)	Non-effector
FUN_001170-T1 FUN_001170	-	-	Y (0.978)	Non-effector
FUN_001171-T1 FUN_001171	-	-	Y (0.548)	Non-effector
FUN_001172-T1 FUN_001172	-	-	Y (0.697)	Non-effector
FUN_001173-T1 FUN_001173	-	Y (0.622)	-	Apoplastic effector
FUN_001174-T1 FUN_001174	-	-	Y (0.986)	Non-effector
FUN_001175-T1 FUN_001175	Y (0.8)	-	-	Cytoplasmic effector
FUN_001176-T1 FUN_001176	Y (0.776)	-	-	Cytoplasmic effector
FUN_001177-T1 FUN_001177	-	-	Y (0.731)	Non-effector
FUN_001178-T1 FUN_001178	Y (0.827)	-	-	Cytoplasmic effector
FUN_001179-T1 FUN_001179	Y (0.608)	-	-	Cytoplasmic effector
FUN_001180-T1 FUN_001180	Y (0.857)	-	-	Cytoplasmic effector
FUN_001181-T1 FUN_001181	-	-	Y (0.87)	Non-effector
FUN_001182-T1 FUN_001182	-	-	Y (0.705)	Non-effector
FUN_001183-T1 FUN_001183	Y (0.697)	Y (0.777)	-	Apoplastic/cytoplasmic effector
FUN_001184-T1 FUN_001184	Y (0.71)	Y (0.908)	-	Apoplastic/cytoplasmic effector
FUN_001185-T1 FUN_001185	Y (0.884)	-	-	Cytoplasmic effector
FUN_001186-T1 FUN_001186	Y (0.574)	-	-	Cytoplasmic effector
FUN_001187-T1 FUN_001187	-	-	Y (0.562)	Non-effector
FUN_001188-T1 FUN_001188	-	-	Y (0.764)	Non-effector
FUN_001189-T1 FUN_001189	-	-	Y (0.547)	Non-effector
FUN_001190-T1 FUN_001190	-	-	Y (0.982)	Non-effector
FUN_001191-T1 FUN_001191	-	-	Y (0.801)	Non-effector
FUN_001192-T1 FUN_001192	Y (0.862)	-	-	Cytoplasmic effector
FUN_001193-T1 FUN_001193	Y (0.798)	-	-	Cytoplasmic effector
FUN_001194-T1 FUN_001194	-	-	Y (0.597)	Non-effector
FUN_001195-T1 FUN_001195	Y (0.757)	-	-	Cytoplasmic effector
FUN_001196-T1 FUN_001196	-	-	Y (0.644)	Non-effector
FUN_001197-T1 FUN_001197	Y (0.838)	-	-	Cytoplasmic effector
FUN_001198-T1 FUN_001198	-	-	Y (0.986)	Non-effector
FUN_001199-T1 FUN_001199	-	-	Y (0.949)	Non-effector
FUN_001200-T1 FUN_001200	-	-	Y (0.875)	Non-effector
FUN_001201-T1 FUN_001201	-	-	Y (0.962)	Non-effector
FUN_001202-T1 FUN_001202	-	-	Y (0.92)	Non-effector
FUN_001203-T1 FUN_001203	Y (0.753)	-	-	Cytoplasmic effector
FUN_001204-T1 FUN_001204	Y (0.789)	-	-	Cytoplasmic effector
FUN_001205-T1 FUN_001205	-	-	Y (0.717)	Non-effector
FUN_001206-T1 FUN_001206	-	-	Y (0.578)	Non-effector
FUN_001207-T1 FUN_001207	Y (0.934)	-	-	Cytoplasmic effector
FUN_001208-T1 FUN_001208	-	-	Y (0.807)	Non-effector
FUN_001208-T2 FUN_001208	-	-	Y (0.836)	Non-effector
FUN_001209-T1 FUN_001209	-	-	Y (0.916)	Non-effector
FUN_001210-T1 FUN_001210	-	-	Y (0.961)	Non-effector
FUN_001211-T1 FUN_001211	-	-	Y (0.921)	Non-effector
FUN_001212-T1 FUN_001212	Y (0.795)	-	-	Cytoplasmic effector
FUN_001213-T1 FUN_001213	Y (0.522)	-	-	Cytoplasmic effector
FUN_001214-T1 FUN_001214	-	-	Y (0.6)	Non-effector
FUN_001215-T1 FUN_001215	-	-	Y (0.926)	Non-effector
FUN_001216-T1 FUN_001216	-	-	Y (0.922)	Non-effector
FUN_001217-T1 FUN_001217	-	-	Y (0.894)	Non-effector
FUN_001218-T1 FUN_001218	-	-	Y (0.951)	Non-effector
FUN_001219-T1 FUN_001219	-	-	Y (0.766)	Non-effector
FUN_001220-T1 FUN_001220	-	-	Y (0.539)	Non-effector
FUN_001221-T1 FUN_001221	-	-	Y (0.97)	Non-effector
FUN_001222-T1 FUN_001222	Y (0.573)	-	-	Cytoplasmic effector
FUN_001223-T1 FUN_001223	Y (0.857)	-	-	Cytoplasmic effector
FUN_001224-T1 FUN_001224	-	-	Y (0.954)	Non-effector
FUN_001225-T1 FUN_001225	-	-	Y (0.596)	Non-effector
FUN_001226-T1 FUN_001226	-	-	Y (0.95)	Non-effector
FUN_001227-T1 FUN_001227	-	-	Y (0.643)	Non-effector
FUN_001228-T1 FUN_001228	Y (0.534)	-	-	Cytoplasmic effector
FUN_001229-T1 FUN_001229	-	-	Y (0.514)	Non-effector
FUN_001230-T1 FUN_001230	-	-	Y (0.972)	Non-effector
FUN_001231-T1 FUN_001231	-	-	Y (0.664)	Non-effector
FUN_001232-T1 FUN_001232	-	-	Y (0.527)	Non-effector
FUN_001233-T1 FUN_001233	Y (0.513)	-	-	Cytoplasmic effector
FUN_001234-T1 FUN_001234	-	-	Y (0.947)	Non-effector
FUN_001235-T1 FUN_001235	Y (0.714)	-	-	Cytoplasmic effector
FUN_001236-T1 FUN_001236	-	-	Y (0.615)	Non-effector
FUN_001237-T1 FUN_001237	-	-	Y (0.582)	Non-effector
FUN_001238-T1 FUN_001238	-	-	Y (0.951)	Non-effector
FUN_001239-T1 FUN_001239	-	-	Y (0.988)	Non-effector
FUN_001240-T1 FUN_001240	Y (0.942)	-	-	Cytoplasmic effector
FUN_001241-T1 FUN_001241	-	-	Y (0.53)	Non-effector
FUN_001242-T1 FUN_001242	-	-	Y (0.747)	Non-effector
FUN_001243-T1 FUN_001243	-	-	Y (0.982)	Non-effector
FUN_001244-T1 FUN_001244	-	-	Y (0.506)	Non-effector
FUN_001245-T1 FUN_001245	Y (0.819)	-	-	Cytoplasmic effector
FUN_001246-T1 FUN_001246	Y (0.925)	-	-	Cytoplasmic effector
FUN_001247-T1 FUN_001247	Y (0.646)	-	-	Cytoplasmic effector
FUN_001248-T1 FUN_001248	-	-	Y (0.889)	Non-effector
FUN_001249-T1 FUN_001249	-	-	Y (0.988)	Non-effector
FUN_001249-T2 FUN_001249	-	-	Y (0.965)	Non-effector
FUN_001249-T3 FUN_001249	-	-	Y (0.988)	Non-effector
FUN_001250-T1 FUN_001250	-	-	Y (0.523)	Non-effector
FUN_001251-T1 FUN_001251	-	-	Y (0.858)	Non-effector
FUN_001251-T2 FUN_001251	-	-	Y (0.842)	Non-effector
FUN_001251-T3 FUN_001251	-	-	Y (0.899)	Non-effector
FUN_001252-T1 FUN_001252	-	-	Y (0.958)	Non-effector
FUN_001253-T1 FUN_001253	-	-	Y (0.988)	Non-effector
FUN_001254-T1 FUN_001254	-	-	Y (0.786)	Non-effector
FUN_001255-T1 FUN_001255	Y (0.637)	Y (0.526)	-	Cytoplasmic/apoplastic effector
FUN_001256-T1 FUN_001256	Y (0.867)	-	-	Cytoplasmic effector
FUN_001257-T1 FUN_001257	Y (0.77)	-	-	Cytoplasmic effector
FUN_001258-T1 FUN_001258	Y (0.86)	-	-	Cytoplasmic effector
FUN_001259-T1 FUN_001259	-	-	Y (0.863)	Non-effector
FUN_001260-T1 FUN_001260	-	-	Y (0.895)	Non-effector
FUN_001260-T2 FUN_001260	-	-	Y (0.907)	Non-effector
FUN_001261-T1 FUN_001261	-	-	Y (0.981)	Non-effector
FUN_001261-T2 FUN_001261	-	-	Y (0.956)	Non-effector
FUN_001262-T1 FUN_001262	-	-	Y (0.608)	Non-effector
FUN_001263-T1 FUN_001263	-	-	Y (0.901)	Non-effector
FUN_001264-T1 FUN_001264	-	-	Y (0.68)	Non-effector
FUN_001265-T1 FUN_001265	Y (0.79)	-	-	Cytoplasmic effector
FUN_001266-T1 FUN_001266	-	-	Y (0.667)	Non-effector
FUN_001267-T1 FUN_001267	-	-	Y (0.911)	Non-effector
FUN_001268-T1 FUN_001268	Y (0.609)	-	-	Cytoplasmic effector
FUN_001269-T1 FUN_001269	-	-	Y (0.878)	Non-effector
FUN_001270-T1 FUN_001270	-	-	Y (0.92)	Non-effector
FUN_001271-T1 FUN_001271	Y (0.916)	-	-	Cytoplasmic effector
FUN_001272-T1 FUN_001272	Y (0.577)	-	-	Cytoplasmic effector
FUN_001273-T1 FUN_001273	Y (0.751)	-	-	Cytoplasmic effector
FUN_001274-T1 FUN_001274	-	-	Y (0.986)	Non-effector
FUN_001275-T1 FUN_001275	-	-	Y (0.987)	Non-effector
FUN_001276-T1 FUN_001276	-	-	Y (0.757)	Non-effector
FUN_001277-T1 FUN_001277	-	-	Y (0.918)	Non-effector
FUN_001278-T1 FUN_001278	-	-	Y (0.974)	Non-effector
FUN_001279-T1 FUN_001279	-	-	Y (0.837)	Non-effector
FUN_001280-T1 FUN_001280	-	-	Y (0.78)	Non-effector
FUN_001281-T1 FUN_001281	-	-	Y (0.969)	Non-effector
FUN_001282-T1 FUN_001282	-	-	Y (0.533)	Non-effector
FUN_001283-T1 FUN_001283	Y (0.619)	-	-	Cytoplasmic effector
FUN_001284-T1 FUN_001284	-	-	Y (0.988)	Non-effector
FUN_001285-T1 FUN_001285	-	-	Y (0.675)	Non-effector
FUN_001286-T1 FUN_001286	-	-	Y (0.973)	Non-effector
FUN_001287-T1 FUN_001287	-	-	Y (0.699)	Non-effector
FUN_001288-T1 FUN_001288	Y (0.768)	-	-	Cytoplasmic effector
FUN_001289-T1 FUN_001289	-	-	Y (0.926)	Non-effector
FUN_001290-T1 FUN_001290	-	-	Y (0.653)	Non-effector
FUN_001291-T1 FUN_001291	-	-	Y (0.986)	Non-effector
FUN_001292-T1 FUN_001292	-	-	Y (0.859)	Non-effector
FUN_001293-T1 FUN_001293	Y (0.951)	-	-	Cytoplasmic effector
FUN_001294-T1 FUN_001294	-	-	Y (0.852)	Non-effector
FUN_001295-T1 FUN_001295	-	-	Y (0.647)	Non-effector
FUN_001296-T1 FUN_001296	-	-	Y (0.638)	Non-effector
FUN_001297-T1 FUN_001297	Y (0.599)	-	-	Cytoplasmic effector
FUN_001298-T1 FUN_001298	-	-	Y (0.924)	Non-effector
FUN_001299-T1 FUN_001299	Y (0.631)	-	-	Cytoplasmic effector
FUN_001300-T1 FUN_001300	-	-	Y (0.806)	Non-effector
FUN_001301-T1 FUN_001301	Y (0.777)	-	-	Cytoplasmic effector
FUN_001302-T1 FUN_001302	Y (0.919)	-	-	Cytoplasmic effector
FUN_001303-T1 FUN_001303	-	-	Y (0.721)	Non-effector
FUN_001304-T1 FUN_001304	-	-	Y (0.529)	Non-effector
FUN_001305-T1 FUN_001305	-	-	Y (0.988)	Non-effector
FUN_001306-T1 FUN_001306	Y (0.917)	-	-	Cytoplasmic effector
FUN_001307-T1 FUN_001307	Y (0.5)	-	-	Cytoplasmic effector
FUN_001308-T1 FUN_001308	Y (0.843)	-	-	Cytoplasmic effector
FUN_001309-T1 FUN_001309	-	-	Y (0.927)	Non-effector
FUN_001310-T1 FUN_001310	-	-	Y (0.829)	Non-effector
FUN_001311-T1 FUN_001311	-	-	Y (0.961)	Non-effector
FUN_001312-T1 FUN_001312	-	-	Y (0.718)	Non-effector
FUN_001313-T1 FUN_001313	-	-	Y (0.828)	Non-effector
FUN_001314-T1 FUN_001314	-	-	Y (0.942)	Non-effector
FUN_001315-T1 FUN_001315	Y (0.718)	-	-	Cytoplasmic effector
FUN_001316-T1 FUN_001316	-	-	Y (0.96)	Non-effector
FUN_001317-T1 FUN_001317	Y (0.622)	-	-	Cytoplasmic effector
FUN_001318-T1 FUN_001318	-	-	Y (0.946)	Non-effector
FUN_001319-T1 FUN_001319	Y (0.633)	-	-	Cytoplasmic effector
FUN_001320-T1 FUN_001320	-	-	Y (0.503)	Non-effector
FUN_001321-T1 FUN_001321	-	-	Y (0.724)	Non-effector
FUN_001322-T1 FUN_001322	-	-	Y (0.666)	Non-effector
FUN_001323-T1 FUN_001323	Y (0.704)	-	-	Cytoplasmic effector
FUN_001324-T1 FUN_001324	-	-	Y (0.66)	Non-effector
FUN_001325-T1 FUN_001325	-	-	Y (0.739)	Non-effector
FUN_001326-T1 FUN_001326	Y (0.861)	-	-	Cytoplasmic effector
FUN_001327-T1 FUN_001327	Y (0.614)	Y (0.584)	-	Cytoplasmic/apoplastic effector
FUN_001328-T1 FUN_001328	Y (0.739)	-	-	Cytoplasmic effector
FUN_001328-T2 FUN_001328	Y (0.767)	-	-	Cytoplasmic effector
FUN_001329-T1 FUN_001329	Y (0.795)	-	-	Cytoplasmic effector
FUN_001329-T2 FUN_001329	Y (0.795)	-	-	Cytoplasmic effector
FUN_001329-T3 FUN_001329	Y (0.787)	-	-	Cytoplasmic effector
FUN_001330-T1 FUN_001330	-	-	Y (0.532)	Non-effector
FUN_001331-T1 FUN_001331	Y (0.842)	-	-	Cytoplasmic effector
FUN_001332-T1 FUN_001332	-	-	Y (0.623)	Non-effector
FUN_001333-T1 FUN_001333	Y (0.564)	-	-	Cytoplasmic effector
FUN_001334-T1 FUN_001334	Y (0.502)	-	-	Cytoplasmic effector
FUN_001334-T2 FUN_001334	-	-	Y (0.693)	Non-effector
FUN_001335-T1 FUN_001335	-	-	Y (0.986)	Non-effector
FUN_001336-T1 FUN_001336	Y (0.51)	-	-	Cytoplasmic effector
FUN_001337-T1 FUN_001337	Y (0.856)	-	-	Cytoplasmic effector
FUN_001338-T1 FUN_001338	-	-	Y (0.622)	Non-effector
FUN_001339-T1 FUN_001339	-	-	Y (0.642)	Non-effector
FUN_001340-T1 FUN_001340	-	-	Y (0.923)	Non-effector
FUN_001340-T2 FUN_001340	-	-	Y (0.918)	Non-effector
FUN_001341-T1 FUN_001341	-	-	Y (0.87)	Non-effector
FUN_001342-T1 FUN_001342	-	-	Y (0.988)	Non-effector
FUN_001343-T1 FUN_001343	-	-	Y (0.987)	Non-effector
FUN_001344-T1 FUN_001344	Y (0.758)	-	-	Cytoplasmic effector
FUN_001345-T1 FUN_001345	-	-	Y (0.631)	Non-effector
FUN_001346-T1 FUN_001346	Y (0.659)	-	-	Cytoplasmic effector
FUN_001347-T1 FUN_001347	-	-	Y (0.865)	Non-effector
FUN_001348-T1 FUN_001348	-	-	Y (0.977)	Non-effector
FUN_001349-T1 FUN_001349	-	-	Y (0.934)	Non-effector
FUN_001350-T1 FUN_001350	-	-	Y (0.959)	Non-effector
FUN_001351-T1 FUN_001351	-	-	Y (0.803)	Non-effector
FUN_001352-T1 FUN_001352	-	-	Y (0.673)	Non-effector
FUN_001353-T1 FUN_001353	Y (0.626)	-	-	Cytoplasmic effector
FUN_001354-T1 FUN_001354	Y (0.77)	-	-	Cytoplasmic effector
FUN_001355-T1 FUN_001355	-	-	Y (0.543)	Non-effector
FUN_001356-T1 FUN_001356	-	-	Y (0.961)	Non-effector
FUN_001357-T1 FUN_001357	-	-	Y (0.894)	Non-effector
FUN_001358-T1 FUN_001358	Y (0.504)	-	-	Cytoplasmic effector
FUN_001359-T1 FUN_001359	Y (0.531)	-	-	Cytoplasmic effector
FUN_001360-T1 FUN_001360	-	-	Y (0.65)	Non-effector
FUN_001361-T1 FUN_001361	Y (0.695)	-	-	Cytoplasmic effector
FUN_001362-T1 FUN_001362	Y (0.696)	-	-	Cytoplasmic effector
FUN_001363-T1 FUN_001363	-	-	Y (0.897)	Non-effector
FUN_001364-T1 FUN_001364	-	-	Y (0.505)	Non-effector
FUN_001365-T1 FUN_001365	Y (0.846)	-	-	Cytoplasmic effector
FUN_001366-T1 FUN_001366	-	-	Y (0.618)	Non-effector
FUN_001367-T1 FUN_001367	-	-	Y (0.881)	Non-effector
FUN_001368-T1 FUN_001368	-	-	Y (0.907)	Non-effector
FUN_001369-T1 FUN_001369	Y (0.507)	-	-	Cytoplasmic effector
FUN_001370-T1 FUN_001370	Y (0.948)	-	-	Cytoplasmic effector
FUN_001371-T1 FUN_001371	-	-	Y (0.961)	Non-effector
FUN_001372-T1 FUN_001372	-	-	Y (0.689)	Non-effector
FUN_001373-T1 FUN_001373	-	-	Y (0.926)	Non-effector
FUN_001374-T1 FUN_001374	-	-	Y (0.586)	Non-effector
FUN_001375-T1 FUN_001375	Y (0.804)	-	-	Cytoplasmic effector
FUN_001376-T1 FUN_001376	-	-	Y (0.897)	Non-effector
FUN_001377-T1 FUN_001377	Y (0.565)	-	-	Cytoplasmic effector
FUN_001378-T1 FUN_001378	Y (0.75)	-	-	Cytoplasmic effector
FUN_001379-T1 FUN_001379	-	-	Y (0.868)	Non-effector
FUN_001380-T1 FUN_001380	Y (0.563)	-	-	Cytoplasmic effector
FUN_001381-T1 FUN_001381	-	-	Y (0.643)	Non-effector
FUN_001382-T1 FUN_001382	Y (0.555)	-	-	Cytoplasmic effector
FUN_001383-T1 FUN_001383	-	-	Y (0.655)	Non-effector
FUN_001384-T1 FUN_001384	Y (0.58)	-	-	Cytoplasmic effector
FUN_001385-T1 FUN_001385	-	-	Y (0.986)	Non-effector
FUN_001386-T1 FUN_001386	-	-	Y (0.971)	Non-effector
FUN_001387-T1 FUN_001387	-	-	Y (0.764)	Non-effector
FUN_001388-T1 FUN_001388	Y (0.753)	-	-	Cytoplasmic effector
FUN_001389-T1 FUN_001389	-	-	Y (0.835)	Non-effector
FUN_001390-T1 FUN_001390	-	-	Y (0.706)	Non-effector
FUN_001390-T2 FUN_001390	-	-	Y (0.868)	Non-effector
FUN_001390-T3 FUN_001390	-	-	Y (0.797)	Non-effector
FUN_001391-T1 FUN_001391	-	-	Y (0.957)	Non-effector
FUN_001392-T1 FUN_001392	-	-	Y (0.989)	Non-effector
FUN_001393-T1 FUN_001393	Y (0.52)	-	-	Cytoplasmic effector
FUN_001394-T1 FUN_001394	Y (0.704)	-	-	Cytoplasmic effector
FUN_001395-T1 FUN_001395	Y (0.761)	-	-	Cytoplasmic effector
FUN_001396-T1 FUN_001396	Y (0.58)	-	-	Cytoplasmic effector
FUN_001397-T1 FUN_001397	-	-	Y (0.975)	Non-effector
FUN_001398-T1 FUN_001398	-	-	Y (0.898)	Non-effector
FUN_001399-T1 FUN_001399	-	-	Y (0.528)	Non-effector
FUN_001400-T1 FUN_001400	-	-	Y (0.983)	Non-effector
FUN_001401-T1 FUN_001401	-	-	Y (0.84)	Non-effector
FUN_001402-T1 FUN_001402	-	Y (0.527)	-	Apoplastic effector
FUN_001403-T1 FUN_001403	Y (0.506)	-	-	Cytoplasmic effector
FUN_001404-T1 FUN_001404	-	-	Y (0.508)	Non-effector
FUN_001405-T1 FUN_001405	-	-	Y (0.953)	Non-effector
FUN_001406-T1 FUN_001406	-	-	Y (0.984)	Non-effector
FUN_001407-T1 FUN_001407	-	-	Y (0.777)	Non-effector
FUN_001408-T1 FUN_001408	-	-	Y (0.982)	Non-effector
FUN_001409-T1 FUN_001409	-	-	Y (0.779)	Non-effector
FUN_001410-T1 FUN_001410	-	-	Y (0.883)	Non-effector
FUN_001411-T1 FUN_001411	-	-	Y (0.734)	Non-effector
FUN_001412-T1 FUN_001412	-	-	Y (0.771)	Non-effector
FUN_001413-T1 FUN_001413	-	-	Y (0.883)	Non-effector
FUN_001414-T1 FUN_001414	Y (0.852)	-	-	Cytoplasmic effector
FUN_001415-T1 FUN_001415	Y (0.7)	-	-	Cytoplasmic effector
FUN_001416-T1 FUN_001416	-	-	Y (0.888)	Non-effector
FUN_001417-T1 FUN_001417	-	-	Y (0.987)	Non-effector
FUN_001418-T1 FUN_001418	-	-	Y (0.942)	Non-effector
FUN_001419-T1 FUN_001419	-	-	Y (0.691)	Non-effector
FUN_001420-T1 FUN_001420	Y (0.734)	-	-	Cytoplasmic effector
FUN_001421-T1 FUN_001421	-	-	Y (0.982)	Non-effector
FUN_001422-T1 FUN_001422	-	-	Y (0.723)	Non-effector
FUN_001423-T1 FUN_001423	-	-	Y (0.902)	Non-effector
FUN_001424-T1 FUN_001424	-	-	Y (0.901)	Non-effector
FUN_001425-T1 FUN_001425	-	-	Y (0.976)	Non-effector
FUN_001426-T1 FUN_001426	-	-	Y (0.981)	Non-effector
FUN_001427-T1 FUN_001427	Y (0.788)	-	-	Cytoplasmic effector
FUN_001428-T1 FUN_001428	Y (0.573)	-	-	Cytoplasmic effector
FUN_001429-T1 FUN_001429	-	-	Y (0.988)	Non-effector
FUN_001430-T1 FUN_001430	-	-	Y (0.697)	Non-effector
FUN_001431-T1 FUN_001431	-	-	Y (0.904)	Non-effector
FUN_001432-T1 FUN_001432	Y (0.703)	-	-	Cytoplasmic effector
FUN_001433-T1 FUN_001433	Y (0.731)	-	-	Cytoplasmic effector
FUN_001434-T1 FUN_001434	Y (0.939)	-	-	Cytoplasmic effector
FUN_001435-T1 FUN_001435	-	-	Y (0.898)	Non-effector
FUN_001436-T1 FUN_001436	Y (0.647)	-	-	Cytoplasmic effector
FUN_001437-T1 FUN_001437	-	-	Y (0.96)	Non-effector
FUN_001437-T2 FUN_001437	-	-	Y (0.987)	Non-effector
FUN_001438-T1 FUN_001438	Y (0.828)	-	-	Cytoplasmic effector
FUN_001439-T1 FUN_001439	-	Y (0.613)	-	Apoplastic effector
FUN_001440-T1 FUN_001440	-	-	Y (0.937)	Non-effector
FUN_001441-T1 FUN_001441	-	-	Y (0.947)	Non-effector
FUN_001442-T1 FUN_001442	-	-	Y (0.98)	Non-effector
FUN_001443-T1 FUN_001443	Y (0.663)	-	-	Cytoplasmic effector
FUN_001444-T1 FUN_001444	-	-	Y (0.983)	Non-effector
FUN_001445-T1 FUN_001445	-	-	Y (0.716)	Non-effector
FUN_001446-T1 FUN_001446	-	-	Y (0.807)	Non-effector
FUN_001447-T1 FUN_001447	Y (0.761)	-	-	Cytoplasmic effector
FUN_001448-T1 FUN_001448	-	-	Y (0.854)	Non-effector
FUN_001449-T1 FUN_001449	-	-	Y (0.646)	Non-effector
FUN_001450-T1 FUN_001450	-	-	Y (0.919)	Non-effector
FUN_001451-T1 FUN_001451	Y (0.801)	-	-	Cytoplasmic effector
FUN_001452-T1 FUN_001452	-	-	Y (0.642)	Non-effector
FUN_001453-T1 FUN_001453	-	-	Y (0.988)	Non-effector
FUN_001454-T1 FUN_001454	-	-	Y (0.875)	Non-effector
FUN_001455-T1 FUN_001455	-	Y (0.536)	-	Apoplastic effector
FUN_001456-T1 FUN_001456	-	-	Y (0.587)	Non-effector
FUN_001457-T1 FUN_001457	-	-	Y (0.544)	Non-effector
FUN_001458-T1 FUN_001458	-	-	Y (0.779)	Non-effector
FUN_001459-T1 FUN_001459	-	-	Y (0.688)	Non-effector
FUN_001460-T1 FUN_001460	-	-	Y (0.735)	Non-effector
FUN_001461-T1 FUN_001461	-	Y (0.514)	-	Apoplastic effector
FUN_001462-T1 FUN_001462	-	-	Y (0.717)	Non-effector
FUN_001463-T1 FUN_001463	-	-	Y (0.806)	Non-effector
