From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length
A0A2Y9M1X9	A0A2Y9M1X9	unreviewed	A0A2Y9M1X9_DELLE	Fc receptor-like protein 3 isoform X3	LOC111166997	Delphinapterus leucas (Beluga whale)	684
A0A4S9VFN0	A0A4S9VFN0	unreviewed	A0A4S9VFN0_AURPU	Neutral protease 2 (EC 3.4.24.39) (Deuterolysin)	D6C90_02991	Aureobasidium pullulans (Black yeast) (Pullularia pullulans)	707
A0A1V1TI33	A0A1V1TI33	unreviewed	A0A1V1TI33_9PEZI	Neutral protease 2 (EC 3.4.24.39) (Deuterolysin)	ANO14919_099740	Xylariales sp. No.14919	402
A0A553HMQ6	A0A553HMQ6	unreviewed	A0A553HMQ6_9PEZI	Neutral protease 2 (EC 3.4.24.39) (Deuterolysin)	FHL15_009811	Xylaria flabelliformis	422
A0A5N6EB18	A0A5N6EB18	unreviewed	A0A5N6EB18_9EURO	Neutral protease 2 (EC 3.4.24.39) (Deuterolysin)	BDV33DRAFT_196822	Aspergillus novoparasiticus	324
B8NWE1	B8NWE1	reviewed	NPIIB_ASPFN	Neutral protease 2 homolog AFLA_119780 (EC 3.4.24.39) (Deuterolysin AFLA_119780)	AFLA_119780	Aspergillus flavus (strain ATCC 200026 / FGSC A1120 / IAM 13836 / NRRL 3357 / JCM 12722 / SRRC 167)	284
A0A6H0XPF1	A0A6H0XPF1	unreviewed	A0A6H0XPF1_9PEZI	Uncharacterized protein	AMS68_002159	Peltaster fructicola	213
A0A4U0TPV7	A0A4U0TPV7	unreviewed	A0A4U0TPV7_9PEZI	Uncharacterized protein	B0A50_06908	Salinomyces thailandica	195
A0A542MDZ2	A0A542MDZ2	unreviewed	A0A542MDZ2_9BURK	Putative secreted protein with PEP-CTERM sorting signal	FBX97_1342	Herbaspirillum sp. SJZ107	209
A0A1E1KC66	A0A1E1KC66	unreviewed	A0A1E1KC66_9HELO	Related to ribonucleases	RAG0_05216	Rhynchosporium agropyri	387
A0A179TXI2	A0A179TXI2		A0A179TXI2_AJEDR	deleted			
A0A218Z8S1	A0A218Z8S1	unreviewed	A0A218Z8S1_9HELO	ribonuclease T2 (EC 4.6.1.19)	B2J93_7604	Marssonina coronariae	516
C0NW72	C0NW72	unreviewed	C0NW72_AJECG	ribonuclease T2 (EC 4.6.1.19)	HCBG_07402	Ajellomyces capsulatus (strain G186AR / H82 / ATCC MYA-2454 / RMSCC 2432) (Darling's disease fungus) (Histoplasma capsulatum)	432
A0A1W5DAU1	A0A1W5DAU1	unreviewed	A0A1W5DAU1_9LECA	ribonuclease T2 (EC 4.6.1.19)		Lasallia pustulata	500
Q0UJL2	Q0UJL2	unreviewed	Q0UJL2_PHANO	Ecp2 effector protein domain-containing protein	SNOG_08052	Phaeosphaeria nodorum (strain SN15 / ATCC MYA-4574 / FGSC 10173) (Glume blotch fungus) (Parastagonospora nodorum)	247
A0A2T2ND65	A0A2T2ND65	unreviewed	A0A2T2ND65_CORCC	Ecp2 effector protein domain-containing protein	BS50DRAFT_455838	Corynespora cassiicola Philippines	191
W4K012	W4K012	unreviewed	W4K012_HETIT	Uncharacterized protein	HETIRDRAFT_477946	Heterobasidion irregulare (strain TC 32-1)	154
W3WPG9	W3WPG9	unreviewed	W3WPG9_PESFW	Ecp2 effector protein domain-containing protein	PFICI_13536	Pestalotiopsis fici (strain W106-1 / CGMCC3.15140)	144
A0A3D1R632	A0A3D1R632	unreviewed	A0A3D1R632_UNCMY	Dickkopf N-terminal cysteine-rich domain-containing protein	DFS52_21835	Myxococcales bacterium	391
A0A520QWA0	A0A520QWA0	unreviewed	A0A520QWA0_9BACT	Dickkopf N-terminal cysteine-rich domain-containing protein	EVA89_09450	Sandaracinaceae bacterium	745
G9PBL3	G9PBL3	unreviewed	G9PBL3_HYPAI	GLEYA adhesin domain-containing protein	TRIATDRAFT_323283	Hypocrea atroviridis (strain ATCC 20476 / IMI 206040) (Trichoderma atroviride)	1238
R0KMA8	R0KMA8	unreviewed	R0KMA8_EXST2	Ecp2 effector protein domain-containing protein	SETTUDRAFT_38372	Exserohilum turcicum (strain 28A) (Northern leaf blight fungus) (Setosphaeria turcica)	138
A0A0F8CN12	A0A0F8CN12	unreviewed	A0A0F8CN12_CERFI	Uncharacterized protein	CFO_g5524	Ceratocystis fimbriata f. sp. platani	223
A0A1Y2A4L8	A0A1Y2A4L8	unreviewed	A0A1Y2A4L8_9PLEO	Uncharacterized protein	BCR34DRAFT_584035	Clohesyomyces aquaticus	167
A0A1Y2V8S8	A0A1Y2V8S8	unreviewed	A0A1Y2V8S8_9PEZI	Uncharacterized protein	M434DRAFT_11169	Hypoxylon sp. CO27-5	195
A0A4S8T8Y1	A0A4S8T8Y1	unreviewed	A0A4S8T8Y1_AURPU	Apple domain-containing protein	D6D29_06450	Aureobasidium pullulans (Black yeast) (Pullularia pullulans)	326
A0A074Y7S9	A0A074Y7S9	unreviewed	A0A074Y7S9_AURSE	Apple domain-containing protein	AUEXF2481DRAFT_71684	Aureobasidium subglaciale (strain EXF-2481) (Aureobasidium pullulans var. subglaciale)	516
A0A4T0DK12	A0A4T0DK12	unreviewed	A0A4T0DK12_AURPU	Apple domain-containing protein	D6C77_03137	Aureobasidium pullulans (Black yeast) (Pullularia pullulans)	481
A0A4S8Z962	A0A4S8Z962	unreviewed	A0A4S8Z962_AURPU	Apple domain-containing protein	D6D19_09989	Aureobasidium pullulans (Black yeast) (Pullularia pullulans)	422
A0A3M6YY33	A0A3M6YY33	unreviewed	A0A3M6YY33_HORWE	Apple domain-containing protein	D0868_05144	Hortaea werneckii	506
A0A1V1TIS2	A0A1V1TIS2	unreviewed	A0A1V1TIS2_9PEZI	CBM-cenC domain-containing protein	ANO14919_102960	Xylariales sp. No.14919	180
L2G4D3	L2G4D3	unreviewed	L2G4D3_COLFN	Uncharacterized protein	CGGC5_6566	Colletotrichum fructicola (strain Nara gc5) (Anthracnose fungus) (Colletotrichum gloeosporioides (strain Nara gc5))	255
A0A439CST8	A0A439CST8	unreviewed	A0A439CST8_9PEZI	CBM-cenC domain-containing protein	EKO27_g9900	Xylaria grammica	215
T0KXA6	T0KXA6	unreviewed	T0KXA6_COLGC	Uncharacterized protein	CGLO_17226	Colletotrichum gloeosporioides (strain Cg-14) (Anthracnose fungus) (Glomerella cingulata)	163
A0A7X4K013	A0A7X4K013		A0A7X4K013_9GAMM	deleted			
A0A6A5YYD8	A0A6A5YYD8	unreviewed	A0A6A5YYD8_9PLEO	Uncharacterized protein	BDV96DRAFT_603243	Lophiotrema nucula	519
W9N7B8	W9N7B8	unreviewed	W9N7B8_FUSOX	Uncharacterized protein	FOVG_19866	Fusarium oxysporum f. sp. pisi HDV247	329
A0A3M7MWN4	A0A3M7MWN4	unreviewed	A0A3M7MWN4_9EURO	Uncharacterized protein	DV737_g3284	Chaetothyriales sp. CBS 132003	474
A0A3M0WE15	A0A3M0WE15	unreviewed	A0A3M0WE15_9EURO	Uncharacterized protein	DV735_g536	Chaetothyriales sp. CBS 134920	363
C0NXA0	C0NXA0	unreviewed	C0NXA0_AJECG	Extracellular serine-rich protein	HCBG_08092	Ajellomyces capsulatus (strain G186AR / H82 / ATCC MYA-2454 / RMSCC 2432) (Darling's disease fungus) (Histoplasma capsulatum)	277
A0A1E3Q3W3	A0A1E3Q3W3	unreviewed	A0A1E3Q3W3_LIPST	Uncharacterized protein	LIPSTDRAFT_319314	Lipomyces starkeyi NRRL Y-11557	283
A0A059J8K7	A0A059J8K7	unreviewed	A0A059J8K7_TRIIM	Uncharacterized protein	H109_03921	Trichophyton interdigitale (strain MR816)	281
A0A2G7FL77	A0A2G7FL77	unreviewed	A0A2G7FL77_9EURO	Aspartic-type endopeptidase opsB	AARAC_009310	Aspergillus arachidicola	835
Q8NKB6	Q8NKB6	reviewed	OPSB_ASPOR	Probable aspartic-type endopeptidase opsB (EC 3.4.23.-) (Oryzapsin B)	opsB AO090701000002	Aspergillus oryzae (strain ATCC 42149 / RIB 40) (Yellow koji mold)	487
A0A225APP5	A0A225APP5	unreviewed	A0A225APP5_9EURO	Putative aspartic-type endopeptidase opsB	UA08_07873	Talaromyces atroroseus	480
A0A1S9D9K6	A0A1S9D9K6	unreviewed	A0A1S9D9K6_ASPOZ	Peptidase A1 pepsin	OAory_01014320	Aspergillus oryzae (Yellow koji mold)	1209
A0A093UPS6	A0A093UPS6	unreviewed	A0A093UPS6_TALMA	Putative aspartic-type endopeptidase opsB	GQ26_0510030	Talaromyces marneffei PM1	438
A0A151GRG3	A0A151GRG3	unreviewed	A0A151GRG3_9HYPO	deuterolysin (EC 3.4.24.39)	DCS_00814	Drechmeria coniospora	503
T5ACR4	T5ACR4	unreviewed	T5ACR4_OPHSC	deuterolysin (EC 3.4.24.39)	OCS_04673	Ophiocordyceps sinensis (strain Co18 / CGMCC 3.14243) (Yarsagumba caterpillar fungus) (Hirsutella sinensis)	380
T5A9M5	T5A9M5	unreviewed	T5A9M5_OPHSC	deuterolysin (EC 3.4.24.39)	OCS_02128	Ophiocordyceps sinensis (strain Co18 / CGMCC 3.14243) (Yarsagumba caterpillar fungus) (Hirsutella sinensis)	554
T5AAM7	T5AAM7	unreviewed	T5AAM7_OPHSC	deuterolysin (EC 3.4.24.39)	OCS_04674	Ophiocordyceps sinensis (strain Co18 / CGMCC 3.14243) (Yarsagumba caterpillar fungus) (Hirsutella sinensis)	304
E2L3X2	E2L3X2	unreviewed	E2L3X2_MONPE	Lysine-specific metallo-endopeptidase domain-containing protein	MPER_00327	Moniliophthora perniciosa (strain FA553 / isolate CP02) (Witches'-broom disease fungus) (Marasmius perniciosus)	156
A0A1G4BKS9	A0A1G4BKS9	unreviewed	A0A1G4BKS9_9PEZI	Uncharacterized protein	CORC01_02785	Colletotrichum orchidophilum	206
A0A6G1GH91	A0A6G1GH91	unreviewed	A0A6G1GH91_9PEZI	Uncharacterized protein	P152DRAFT_445356	Eremomyces bilateralis CBS 781.70	207
A0A6H0XVY1	A0A6H0XVY1	unreviewed	A0A6H0XVY1_9PEZI	Uncharacterized protein	AMS68_004275	Peltaster fructicola	208
G1XUG8	G1XUG8	unreviewed	G1XUG8_ARTOA	Uncharacterized protein	AOL_s00215g626	Arthrobotrys oligospora (strain ATCC 24927 / CBS 115.81 / DSM 1491) (Nematode-trapping fungus) (Didymozoophaga oligospora)	209
A0A2D3UQP5	A0A2D3UQP5	unreviewed	A0A2D3UQP5_9PEZI	Uncharacterized protein	RCC_03971	Ramularia collo-cygni	237
A0A5N6J8L9	A0A5N6J8L9	unreviewed	A0A5N6J8L9_9EURO	lysozyme (EC 3.2.1.17)	BDV30DRAFT_236913	Aspergillus minisclerotigenes	232
A0A8B6S7C1	A0A8B6S7C1		A0A8B6S7C1_RHIML	deleted			
A0A1G6CG09	A0A1G6CG09	unreviewed	A0A1G6CG09_9HYPH	Lysozyme (EC 3.2.1.17)	SAMN02982931_02431	Bauldia litoralis	281
A0A833LKK4	A0A833LKK4	unreviewed	A0A833LKK4_9HYPH	Lysozyme (EC 3.2.1.17)	F9K43_05530	Bauldia sp	146
D6V5H9	D6V5H9	unreviewed	D6V5H9_9BRAD	Lysozyme (EC 3.2.1.17)	AfiDRAFT_1862	Afipia sp. 1NLS2	175
A0A4Q2YRE3	A0A4Q2YRE3	unreviewed	A0A4Q2YRE3_9BACT	DUF642 domain-containing protein	EOP85_13195	Verrucomicrobiaceae bacterium	534
A0A010QXK6	A0A010QXK6	unreviewed	A0A010QXK6_9PEZI	WSC domain-containing protein	CFIO01_02125	Colletotrichum fioriniae PJ7	944
A0A3M1RXR0	A0A3M1RXR0	unreviewed	A0A3M1RXR0_9GAMM	Choice-of-anchor C family protein	D6727_08425	Gammaproteobacteria bacterium	250
A0A7S6M730	A0A7S6M730	unreviewed	A0A7S6M730_9BACT	Tail specific protease domain-containing protein	HRU75_06620	Planctomycetia bacterium	768
A0A4Q3BQY7	A0A4Q3BQY7	unreviewed	A0A4Q3BQY7_9BACT	DUF642 domain-containing protein	EOP84_09520	Verrucomicrobiaceae bacterium	373
A0A1S1VSI8	A0A1S1VSI8		A0A1S1VSI8_9PEZI	deleted			
A0A3N2Q222	A0A3N2Q222	unreviewed	A0A3N2Q222_9PEZI	Probable glucan endo-1,3-beta-glucosidase eglC (EC 3.2.1.39) (Endo-1,3-beta-glucanase eglC) (Laminarinase eglC)	SODALDRAFT_342996	Sodiomyces alkalinus F11	479
A0A2C5YAV5	A0A2C5YAV5	unreviewed	A0A2C5YAV5_9HYPO	Probable glucan endo-1,3-beta-glucosidase eglC (EC 3.2.1.39) (Endo-1,3-beta-glucanase eglC) (Laminarinase eglC)	CDD81_4211	Ophiocordyceps australis	550
N4VAI7	N4VAI7		N4VAI7_COLOR	deleted			
A0A2S4L9G4	A0A2S4L9G4	unreviewed	A0A2S4L9G4_9HYPO	Histidine-rich membrane protein KE4	TPAR_00704	Tolypocladium paradoxum	904
A0A5M8PXI5	A0A5M8PXI5	unreviewed	A0A5M8PXI5_9LECA	tyrosinase (EC 1.14.18.1)	FRX48_03181	Lasallia pustulata	660
A0A1Y1ZT51	A0A1Y1ZT51	unreviewed	A0A1Y1ZT51_9PLEO	Common central domain of tyrosinase-domain-containing protein	BCR34DRAFT_599972	Clohesyomyces aquaticus	335
A0A6A6NPE1	A0A6A6NPE1	unreviewed	A0A6A6NPE1_9PEZI	tyrosinase (EC 1.14.18.1)	BDY21DRAFT_292685	Lineolata rhizophorae	570
G2RFH3	G2RFH3	unreviewed	G2RFH3_THETT	tyrosinase (EC 1.14.18.1)	THITE_2131928	Thermothielavioides terrestris (strain ATCC 38088 / NRRL 8126) (Thielavia terrestris)	650
A0A6A6Z455	A0A6A6Z455	unreviewed	A0A6A6Z455_9PEZI	tyrosinase (EC 1.14.18.1)	BDZ99DRAFT_379186	Mytilinidion resinicola	673
A0A6G1GWR7	A0A6G1GWR7	unreviewed	A0A6G1GWR7_9PEZI	Glycoside hydrolase family 128 protein	K402DRAFT_307227	Aulographum hederae CBS 113979	283
A0A6G1JBK6	A0A6G1JBK6	unreviewed	A0A6G1JBK6_9PLEO	Glycoside hydrolase family 128 protein	K458DRAFT_385482	Lentithecium fluviatile CBS 122367	307
R8BNX8	R8BNX8	unreviewed	R8BNX8_PHAM7	Putative f5 8 type c domain protein	UCRPA7_3418	Phaeoacremonium minimum (strain UCR-PA7) (Esca disease fungus) (Togninia minima)	235
X0A4E5	X0A4E5	unreviewed	X0A4E5_FUSOX	Asl1-like glycosyl hydrolase catalytic domain-containing protein	FOMG_08945	Fusarium oxysporum f. sp. melonis 26406	302
A0A6A6TZA6	A0A6A6TZA6	unreviewed	A0A6A6TZA6_9PEZI	Asl1-like glycosyl hydrolase catalytic domain-containing protein	BT63DRAFT_460635	Microthyrium microscopicum	877
A0A1Z5TV29	A0A1Z5TV29	unreviewed	A0A1Z5TV29_HORWE	Ig-like domain-containing protein	BTJ68_00047	Hortaea werneckii EXF-2000	267
A0A3M7FPV7	A0A3M7FPV7	unreviewed	A0A3M7FPV7_HORWE	Ig-like domain-containing protein	D0864_06268	Hortaea werneckii	343
M3D3T5	M3D3T5	unreviewed	M3D3T5_SPHMS	Uncharacterized protein	SEPMUDRAFT_149197	Sphaerulina musiva (strain SO2202) (Poplar stem canker fungus) (Septoria musiva)	348
A0A3M7GBQ1	A0A3M7GBQ1	unreviewed	A0A3M7GBQ1_HORWE	Ig-like domain-containing protein	D0862_07509	Hortaea werneckii	444
A0A1P8YXY7	A0A1P8YXY7	unreviewed	A0A1P8YXY7_PASFU	Uncharacterized protein		Passalora fulva (Tomato leaf mold) (Cladosporium fulvum)	694
A0A3M7N675	A0A3M7N675	unreviewed	A0A3M7N675_9EURO	Cupin type-1 domain-containing protein	DV738_g2197	Chaetothyriales sp. CBS 135597	446
V9DGY0	V9DGY0	unreviewed	V9DGY0_9EURO	Cupin type-1 domain-containing protein	G647_02887	Cladophialophora carrionii CBS 160.54	415
A0A022XP71	A0A022XP71	unreviewed	A0A022XP71_TRISD	Cupin type-1 domain-containing protein	H105_05805	Trichophyton soudanense CBS 452.61	365
E9D0Y3	E9D0Y3	unreviewed	E9D0Y3_COCPS	Cupin type-1 domain-containing protein	CPSG_03162	Coccidioides posadasii (strain RMSCC 757 / Silveira) (Valley fever fungus)	385
A0A2P4ZD02	A0A2P4ZD02	unreviewed	A0A2P4ZD02_9HYPO	Cupin type-1 domain-containing protein	TGAM01_v209036	Trichoderma gamsii	747
A0A1V8SC36	A0A1V8SC36	unreviewed	A0A1V8SC36_9PEZI	Uncharacterized protein	B0A48_17049	Rachicladosporium antarcticum	1148
A0A1V8VA03	A0A1V8VA03	unreviewed	A0A1V8VA03_9PEZI	Uncharacterized protein	B0A51_00049	Rachicladosporium sp. CCFEE 5018	1041
A0A1V1SX27	A0A1V1SX27	unreviewed	A0A1V1SX27_9PEZI	Uncharacterized protein	ANO14919_025080	Xylariales sp. No.14919	226
M7T4Y7	M7T4Y7	unreviewed	M7T4Y7_EUTLA	Uncharacterized protein	UCREL1_990	Eutypa lata (strain UCR-EL1) (Grapevine dieback disease fungus) (Eutypa armeniacae)	225
A0A2P5HYD8	A0A2P5HYD8	unreviewed	A0A2P5HYD8_9PEZI	Uncharacterized protein	DHEL01_v206345	Diaporthe helianthi	194
A0A1L7WVT4	A0A1L7WVT4	unreviewed	A0A1L7WVT4_9HELO	Related to endoglucanase I	PAC_06771	Phialocephala subalpina	414
A0A318ZLM3	A0A318ZLM3	unreviewed	A0A318ZLM3_9EURO	xyloglucan-specific endo-beta-1,4-glucanase (EC 3.2.1.151) (Xyloglucanase A) (Xyloglucanendohydrolase A)	BP01DRAFT_392355	Aspergillus saccharolyticus JOP 1030-1	264
A0A1L9R8U7	A0A1L9R8U7	unreviewed	A0A1L9R8U7_ASPWE	xyloglucan-specific endo-beta-1,4-glucanase (EC 3.2.1.151) (Xyloglucanase A) (Xyloglucanendohydrolase A)	ASPWEDRAFT_119134	Aspergillus wentii DTO 134E9	273
A0A1S8BG51	A0A1S8BG51	unreviewed	A0A1S8BG51_9PEZI	Xyloglucan-specific endo-beta-1,4-glucanase A	BK809_0003433	Diplodia seriata	463
A0A074XYD6	A0A074XYD6	unreviewed	A0A074XYD6_AURPU	Endoglucanase-1	M438DRAFT_283171	Aureobasidium pullulans EXF-150	253
M2VDZ6	M2VDZ6	unreviewed	M2VDZ6_COCH5	Fungal lipase-like domain-containing protein	COCHEDRAFT_1026240	Cochliobolus heterostrophus (strain C5 / ATCC 48332 / race O) (Southern corn leaf blight fungus) (Bipolaris maydis)	292
A0A2T2P6Z2	A0A2T2P6Z2	unreviewed	A0A2T2P6Z2_CORCC	Alpha/beta-hydrolase	BS50DRAFT_187348	Corynespora cassiicola Philippines	323
A0A6A5K799	A0A6A5K799	unreviewed	A0A6A5K799_9PLEO	Alpha/beta-hydrolase	BDW02DRAFT_600358	Decorospora gaudefroyi	305
E4ZK26	E4ZK26	unreviewed	E4ZK26_LEPMJ	Fungal lipase-like domain-containing protein	LEMA_P071290.1	Leptosphaeria maculans (strain JN3 / isolate v23.1.3 / race Av1-4-5-6-7-8) (Blackleg fungus) (Phoma lingam)	455
A0A6A6JDL4	A0A6A6JDL4	unreviewed	A0A6A6JDL4_WESOR	Alpha/beta-hydrolase	EI97DRAFT_495885	Westerdykella ornata	284
A0A370TE47	A0A370TE47	unreviewed	A0A370TE47_9HELO	Extracellular membrane protein CFEM domain-containing protein	BP5553_08411	Venustampulla echinocandica	342
A0A0D2G7D5	A0A0D2G7D5	unreviewed	A0A0D2G7D5_9EURO	Extracellular membrane protein CFEM domain-containing protein	Z517_11289 Z517_12102	Fonsecaea pedrosoi CBS 271.37	300
A0A0D2CC38	A0A0D2CC38	unreviewed	A0A0D2CC38_9EURO	Extracellular membrane protein CFEM domain-containing protein	PV07_07631	Cladophialophora immunda	295
A0A6G1JP04	A0A6G1JP04	unreviewed	A0A6G1JP04_9PLEO	Copper radical oxidase	K458DRAFT_411593	Lentithecium fluviatile CBS 122367	1101
A0A6A6RTD7	A0A6A6RTD7	unreviewed	A0A6A6RTD7_9PLEO	Galactose oxidase	P280DRAFT_431474	Massarina eburnea CBS 473.64	842
A0A2J6SP16	A0A2J6SP16	unreviewed	A0A2J6SP16_9HELO	Copper radical oxidase	K444DRAFT_619966	Hyaloscypha bicolor E	813
A0A4Q3NWY7	A0A4Q3NWY7		A0A4Q3NWY7_9BACT	deleted			
A0A0C3DRC3	A0A0C3DRC3	unreviewed	A0A0C3DRC3_9AGAM	Glyoxal oxidase	SCLCIDRAFT_24348	Scleroderma citrinum Foug A	511
A0A6G1LIW3	A0A6G1LIW3	unreviewed	A0A6G1LIW3_9PEZI	Uncharacterized protein	EJ03DRAFT_186636	Teratosphaeria nubilosa	424
H1VMV0	H1VMV0	unreviewed	H1VMV0_COLHI	Uncharacterized protein	CH063_11796	Colletotrichum higginsianum (strain IMI 349063) (Crucifer anthracnose fungus)	122
A0A5Q4BD42	A0A5Q4BD42	unreviewed	A0A5Q4BD42_9PEZI	Uncharacterized protein	CSHISOI_10797	Colletotrichum shisoi	495
A0A4V4I671	A0A4V4I671	unreviewed	A0A4V4I671_AURPU	Vacuolar protein sorting-associated protein 62	D6D27_03525	Aureobasidium pullulans (Black yeast) (Pullularia pullulans)	491
A0A6A6GR50	A0A6A6GR50	unreviewed	A0A6A6GR50_9PEZI	Vacuolar protein sorting-associated protein 62	BDZ85DRAFT_176122	Elsinoe ampelina	310
A0A4Z1P2H8	A0A4Z1P2H8	unreviewed	A0A4Z1P2H8_9PEZI	Vacuolar protein sorting-associated protein 62	E6O75_ATG10859	Venturia nashicola	630
A0A3E2GZL8	A0A3E2GZL8	unreviewed	A0A3E2GZL8_SCYLI	Vacuolar protein sorting-associated protein TDA6	B7463_g9875	Scytalidium lignicola (Hyphomycete)	438
A0A1V6TT51	A0A1V6TT51	unreviewed	A0A1V6TT51_9EURO	Vacuolar protein sorting-associated protein 62	PENSTE_c002G04378	Penicillium steckii	362
A0A135TVW9	A0A135TVW9	unreviewed	A0A135TVW9_9PEZI	Uncharacterized protein	CNYM01_02130	Colletotrichum nymphaeae SA-01	89
A0A2B7Y6Z0	A0A2B7Y6Z0	unreviewed	A0A2B7Y6Z0_9EURO	Uncharacterized protein	AJ79_01379	Helicocarpus griseus UAMH5409	95
A0A2T2PBH5	A0A2T2PBH5	unreviewed	A0A2T2PBH5_CORCC	Beta/gamma crystallin 'Greek key' domain-containing protein	BS50DRAFT_628239	Corynespora cassiicola Philippines	88
A0A7C8MYL9	A0A7C8MYL9	unreviewed	A0A7C8MYL9_9PEZI	Uncharacterized protein	GQX73_g938	Xylaria multiplex	142
A0A2B7Y353	A0A2B7Y353	unreviewed	A0A2B7Y353_9EURO	Uncharacterized protein	AJ80_05621	Polytolypa hystricis UAMH7299	214
A0A2T3A6X0	A0A2T3A6X0	unreviewed	A0A2T3A6X0_9PEZI	Uncharacterized protein	BD289DRAFT_434888	Coniella lustricola	209
A0A4Z0Y6Z7	A0A4Z0Y6Z7	unreviewed	A0A4Z0Y6Z7_9PEZI	Uncharacterized protein	E0Z10_g8925	Xylaria hypoxylon	206
A0A2V1CN64	A0A2V1CN64	unreviewed	A0A2V1CN64_9HELO	Uncharacterized protein	DL98DRAFT_650043	Cadophora sp. DSE1049	212
A0A2P5HJ75	A0A2P5HJ75	unreviewed	A0A2P5HJ75_9PEZI	Uncharacterized protein	DHEL01_v211297	Diaporthe helianthi	246
A0A6A6CXR7	A0A6A6CXR7	unreviewed	A0A6A6CXR7_ZASCE	Uncharacterized protein	M409DRAFT_18195	Zasmidium cellare ATCC 36951	198
A0A151GN20	A0A151GN20	unreviewed	A0A151GN20_9HYPO	Fungal lipase-like domain-containing protein	DCS_05519	Drechmeria coniospora	527
A0A4Q0A149	A0A4Q0A149	unreviewed	A0A4Q0A149_9FUNG	Alpha/Beta hydrolase protein	BJ085DRAFT_33872	Dimargaris cristalligena	294
A0A2G5BCB0	A0A2G5BCB0	unreviewed	A0A2G5BCB0_COERN	Alpha/beta-hydrolase	COEREDRAFT_42237	Coemansia reversa (strain ATCC 12441 / NRRL 1564)	214
A0A4P9ZN38	A0A4P9ZN38	unreviewed	A0A4P9ZN38_9FUNG	Alpha/Beta hydrolase protein	BJ085DRAFT_21294	Dimargaris cristalligena	243
A0A4P9ZXR4	A0A4P9ZXR4	unreviewed	A0A4P9ZXR4_9FUNG	Alpha/Beta hydrolase protein	BJ085DRAFT_27691	Dimargaris cristalligena	290
A0A0U1LM91	A0A0U1LM91	unreviewed	A0A0U1LM91_TALIS	FAD-binding PCMH-type domain-containing protein	PISL3812_00771	Talaromyces islandicus (Penicillium islandicum)	731
A0A6A5XLC8	A0A6A5XLC8	unreviewed	A0A6A5XLC8_9PLEO	FAD binding domain-containing protein	BU24DRAFT_484025	Aaosphaeria arxii CBS 175.79	469
A0A179FJM3	A0A179FJM3	unreviewed	A0A179FJM3_METCM	FAD-binding protein	VFPPC_10836	Pochonia chlamydosporia 170	494
K2RTV3	K2RTV3	unreviewed	K2RTV3_MACPH	Cutinase	MPH_09269	Macrophomina phaseolina (strain MS6) (Charcoal rot fungus)	485
A0A2P5HSX8	A0A2P5HSX8	unreviewed	A0A2P5HSX8_9PEZI	FAD-binding PCMH-type domain-containing protein	DHEL01_v208314	Diaporthe helianthi	473
A0A383E2U9	A0A383E2U9	unreviewed	A0A383E2U9_9ZZZZ	Uncharacterized protein	METZ01_LOCUS503569	marine metagenome	117
A0A5M8PWH0	A0A5M8PWH0	unreviewed	A0A5M8PWH0_9LECA	Asl1-like glycosyl hydrolase catalytic domain-containing protein	FRX48_03177	Lasallia pustulata	331
A0A818Z082	A0A818Z082	unreviewed	A0A818Z082_9BILA	Asl1-like glycosyl hydrolase catalytic domain-containing protein	JBS370_LOCUS13071	Rotaria sordida	244
A0A820AH65	A0A820AH65	unreviewed	A0A820AH65_9BILA	Asl1-like glycosyl hydrolase catalytic domain-containing protein	FNK824_LOCUS35456 RFH988_LOCUS21843 SEV965_LOCUS22626	Rotaria sordida	323
S7RKX9	S7RKX9	unreviewed	S7RKX9_GLOTA	Asl1-like glycosyl hydrolase catalytic domain-containing protein	GLOTRDRAFT_129306	Gloeophyllum trabeum (strain ATCC 11539 / FP-39264 / Madison 617) (Brown rot fungus)	230
A0A3M6WXL9	A0A3M6WXL9	unreviewed	A0A3M6WXL9_HORWE	Asl1-like glycosyl hydrolase catalytic domain-containing protein	D0869_05391	Hortaea werneckii	549
A0A4P6XXT6	A0A4P6XXT6	unreviewed	A0A4P6XXT6_9ASCO	Glucosidase II subunit alpha	MPUL0F05020 METSCH_F05020	Metschnikowia aff. pulcherrima	931
A2DBB0	A2DBB0	unreviewed	A2DBB0_TRIV3	Glucosidase II subunit alpha	TVAG_379190	Trichomonas vaginalis (strain ATCC PRA-98 / G3)	918
A0A139WAQ4	A0A139WAQ4	unreviewed	A0A139WAQ4_TRICA	Glucosidase II subunit alpha	AUGUSTUS-3.0.2_31427 TcasGA2_TC031427	Tribolium castaneum (Red flour beetle)	845
A0A847DQR3	A0A847DQR3	unreviewed	A0A847DQR3_9BACT	Glycoside hydrolase family 31 protein	GX645_06370	Candidatus Sumerlaeota bacterium	783
A0A072UP95	A0A072UP95	unreviewed	A0A072UP95_MEDTR	Neutral alpha-glucosidase	11410655 MTR_5g026610	Medicago truncatula (Barrel medic) (Medicago tribuloides)	901
A0A1W5DBE1	A0A1W5DBE1	unreviewed	A0A1W5DBE1_9LECA	Spherulation-specific family 4		Lasallia pustulata	262
A0A6G1H548	A0A6G1H548	unreviewed	A0A6G1H548_9PEZI	1,3-beta-glucanosyltransferase	K402DRAFT_301296	Aulographum hederae CBS 113979	191
