"query","target","nident","fident","alnlen","mismatch","gapopen","qstart","qend","tstart","tend","prob","evalue","bits"
"492_FUN009178T1unrelaxedrank001alphafold2ptm.pdb","AF-A0A175WEN3-F1-model_v4",21,0.09,232,149,14,20,233,22,209,0.999,0.0002072,99
"492_FUN009178T1unrelaxedrank001alphafold2ptm.pdb","AF-M7SWH3-F1-model_v4",14,0.111,126,95,7,1,120,86,200,0.999,0.01885,98
"498_FUN009292T1unrelaxedrank001alphafold2ptm.pdb","AF-A0A4Q4R4H3-F1-model_v4",34,0.211,161,76,7,2,112,129,288,1,2.317e-07,279
"498_FUN009292T1unrelaxedrank001alphafold2ptm.pdb","AF-A0A6G1GZR0-F1-model_v4",26,0.164,158,86,7,1,112,10,167,1,1.015e-05,234
"498_FUN009292T1unrelaxedrank001alphafold2ptm.pdb","AF-A0A7U2F0M6-F1-model_v4",23,0.193,119,74,7,16,112,32,150,1,2.943e-06,223
"498_FUN009292T1unrelaxedrank001alphafold2ptm.pdb","AF-A0A423WGF4-F1-model_v4",19,0.138,137,92,5,2,112,93,229,1,0.0001132,212
"498_FUN009292T1unrelaxedrank001alphafold2ptm.pdb","AF-A0A178B6A8-F1-model_v4",16,0.158,101,68,4,29,112,66,166,1,6.72e-05,187
"499_FUN009293T1unrelaxedrank001alphafold2ptm.pdb","AF-A0A017S360-F1-model_v4",39,0.506,77,38,0,4,80,28,104,1,4.85e-08,429
"499_FUN009293T1unrelaxedrank001alphafold2ptm.pdb","AF-A0A1L9RFQ7-F1-model_v4",43,0.505,85,37,1,1,80,15,99,1,2.072e-08,424
"499_FUN009293T1unrelaxedrank001alphafold2ptm.pdb","AF-A0A2J6R390-F1-model_v4",37,0.415,89,43,1,1,80,17,105,1,1.197e-07,397
"499_FUN009293T1unrelaxedrank001alphafold2ptm.pdb","AF-A0A1L9VIT1-F1-model_v4",19,0.253,75,56,0,6,80,28,102,1,2.003e-06,349
"499_FUN009293T1unrelaxedrank001alphafold2ptm.pdb","AF-A0A1E3B0J2-F1-model_v4",20,0.266,75,55,0,6,80,28,102,1,2.906e-06,341
"49_FUN000719T1unrelaxedrank001alphafold2ptmmodel2seed000.pdb","AF-A0A6A6BEJ4-F1-model_v4",134,0.498,269,133,2,2,269,42,309,1,1.804e-34,1400
"49_FUN000719T1unrelaxedrank001alphafold2ptmmodel2seed000.pdb","AF-A0A6G1LCS3-F1-model_v4",125,0.462,270,141,2,2,269,42,309,1,4.942e-33,1314
"49_FUN000719T1unrelaxedrank001alphafold2ptmmodel2seed000.pdb","AF-A0A1V6QYJ9-F1-model_v4",115,0.495,232,114,2,38,269,66,294,1,3.179e-28,1100
"49_FUN000719T1unrelaxedrank001alphafold2ptmmodel2seed000.pdb","AF-A0A1Q5UFV0-F1-model_v4",120,0.468,256,131,3,14,269,3,253,1,4.074e-29,1088
"49_FUN000719T1unrelaxedrank001alphafold2ptmmodel2seed000.pdb","AF-A0A1V6NW37-F1-model_v4",113,0.493,229,113,2,41,269,2,227,1,2.091e-27,1064
"4_FUN000085T1unrelaxedrank001alphafold2ptmmodel3seed000.pdb","AF-A0A2V1CD15-F1-model_v4",209,0.44,475,260,2,3,473,56,528,1,2.715e-63,2518
"4_FUN000085T1unrelaxedrank001alphafold2ptmmodel3seed000.pdb","AF-A0A5N6T9G9-F1-model_v4",184,0.388,474,279,4,3,472,21,487,1,1.602e-55,2119
"4_FUN000085T1unrelaxedrank001alphafold2ptmmodel3seed000.pdb","AF-B8M875-F1-model_v4",185,0.391,473,275,6,5,472,25,489,1,1.797e-55,2117
"4_FUN000085T1unrelaxedrank001alphafold2ptmmodel3seed000.pdb","AF-A0A067NHA8-F1-model_v4",155,0.338,458,296,5,16,471,3,455,1,8.166e-51,1906
"4_FUN000085T1unrelaxedrank001alphafold2ptmmodel3seed000.pdb","AF-A0A0D2IBN1-F1-model_v4",147,0.306,479,317,7,2,471,23,495,1,3.535e-47,1755
"511_FUN009572T1unrelaxedrank001alphafold2ptm.pdb","AF-A0A6A6P5T9-F1-model_v4",376,0.514,731,318,14,1,705,22,741,1,3.304e-90,3127
"511_FUN009572T1unrelaxedrank001alphafold2ptm.pdb","AF-A0A370TW43-F1-model_v4",360,0.433,832,331,18,1,705,21,838,1,7.554e-86,2944
"511_FUN009572T1unrelaxedrank001alphafold2ptm.pdb","AF-A0A2V1CWF2-F1-model_v4",342,0.431,794,351,18,1,705,20,801,1,2.218e-83,2846
"511_FUN009572T1unrelaxedrank001alphafold2ptm.pdb","AF-A0A5N5CV45-F1-model_v4",307,0.416,737,314,20,1,705,27,679,1,1.15e-68,2331
"511_FUN009572T1unrelaxedrank001alphafold2ptm.pdb","AF-A0A0D1XKA8-F1-model_v4",242,0.43,562,288,11,1,540,20,571,1,8.236e-57,2182
"51_FUN000740T1unrelaxedrank001alphafold2ptmmodel5seed000.pdb","AF-A0A0D2APD0-F1-model_v4",128,0.315,406,236,12,2,370,28,428,1,5.708e-42,1590
"51_FUN000740T1unrelaxedrank001alphafold2ptmmodel5seed000.pdb","AF-A0A842Z296-F1-model_v4",120,0.312,384,218,13,4,368,25,381,1,4.08e-36,1259
"51_FUN000740T1unrelaxedrank001alphafold2ptmmodel5seed000.pdb","AF-A0A1L7WL87-F1-model_v4",102,0.261,390,251,11,6,369,25,403,1,1.768e-35,1245
"51_FUN000740T1unrelaxedrank001alphafold2ptmmodel5seed000.pdb","AF-A0A3D8S6A9-F1-model_v4",114,0.284,401,227,15,1,368,36,409,1,1.016e-34,1199
"51_FUN000740T1unrelaxedrank001alphafold2ptmmodel5seed000.pdb","AF-A0A5N6FVE9-F1-model_v4",94,0.291,322,189,7,1,298,27,333,1,3.838e-25,858
"604_FUN010688T1unrelaxedrank001alphafold2ptm.pdb","AF-W3WLU1-F1-model_v4",61,0.388,157,82,7,5,153,26,176,1,2.397e-14,547
"604_FUN010688T1unrelaxedrank001alphafold2ptm.pdb","AF-A0A2R4TD26-F1-model_v4",52,0.353,147,87,5,5,147,101,243,1,3.01e-13,528
"604_FUN010688T1unrelaxedrank001alphafold2ptm.pdb","AF-A0A286RHL3-F1-model_v4",46,0.323,142,90,4,14,153,965,1102,1,8.978e-13,512
"604_FUN010688T1unrelaxedrank001alphafold2ptm.pdb","AF-A0A5R9QSV6-F1-model_v4",41,0.288,142,95,5,14,152,935,1073,1,2.248e-11,459
"604_FUN010688T1unrelaxedrank001alphafold2ptm.pdb","AF-A0A1V6DER9-F1-model_v4",39,0.265,147,102,5,7,150,970,1113,1,1.995e-09,390
"73_FUN001104T1unrelaxedrank001alphafold2ptmmodel2seed000.pdb","AF-A0A0G2I0T9-F1-model_v4",163,0.459,355,162,7,1,335,17,361,1,7.324e-44,1713
"73_FUN001104T1unrelaxedrank001alphafold2ptmmodel2seed000.pdb","AF-W9YCH4-F1-model_v4",159,0.325,489,169,7,2,335,20,502,1,1.256e-41,1600
"73_FUN001104T1unrelaxedrank001alphafold2ptmmodel2seed000.pdb","AF-A0A1B8EF44-F1-model_v4",156,0.365,427,174,11,2,335,15,437,1,2.284e-40,1564
"73_FUN001104T1unrelaxedrank001alphafold2ptmmodel2seed000.pdb","AF-A0A3N2Q680-F1-model_v4",147,0.357,411,175,7,6,334,23,426,1,6.117e-40,1517
"73_FUN001104T1unrelaxedrank001alphafold2ptmmodel2seed000.pdb","AF-A0A370U424-F1-model_v4",139,0.319,435,175,8,5,324,22,450,1,5.418e-37,1375
"78_FUN001160T1unrelaxedrank001alphafold2ptmmodel2seed000.pdb","AF-F8C8J9-F1-model_v4",39,0.21,185,116,12,2,161,127,306,1,2.362e-09,299
"78_FUN001160T1unrelaxedrank001alphafold2ptmmodel2seed000.pdb","AF-A0A2V4ZJ14-F1-model_v4",41,0.219,187,111,11,1,159,123,302,1,1.985e-09,292
"78_FUN001160T1unrelaxedrank001alphafold2ptmmodel2seed000.pdb","AF-A0A3A8QQJ4-F1-model_v4",40,0.211,189,113,15,1,161,121,301,1,5.975e-09,274
"78_FUN001160T1unrelaxedrank001alphafold2ptmmodel2seed000.pdb","AF-A0A4Q5Z756-F1-model_v4",42,0.224,187,113,15,1,161,88,268,1,1.602e-08,272
"78_FUN001160T1unrelaxedrank001alphafold2ptmmodel2seed000.pdb","AF-V5I835-F1-model_v4",26,0.155,167,121,8,7,160,17,176,1,6.951e-07,230
"80_FUN001259T1unrelaxedrank001alphafold2ptmmodel3seed000.pdb","AF-A0A072PC86-F1-model_v4",145,0.506,286,136,2,8,290,55,338,1,4.853e-32,1296
"80_FUN001259T1unrelaxedrank001alphafold2ptmmodel3seed000.pdb","AF-A0A0D8JT77-F1-model_v4",135,0.482,280,135,2,12,290,34,304,1,2.444e-32,1263
"80_FUN001259T1unrelaxedrank001alphafold2ptmmodel3seed000.pdb","AF-E9D4N8-F1-model_v4",134,0.478,280,136,2,12,290,61,331,1,1.438e-31,1233
"80_FUN001259T1unrelaxedrank001alphafold2ptmmodel3seed000.pdb","AF-W9XNG4-F1-model_v4",135,0.517,261,121,3,33,290,2,260,1,1.882e-30,1213
"80_FUN001259T1unrelaxedrank001alphafold2ptmmodel3seed000.pdb","AF-A0A2S7NVJ2-F1-model_v4",135,0.517,261,121,2,33,289,2,261,1,9.171e-29,1132
"99_FUN001815T1unrelaxedrank001alphafold2ptmmodel3seed000.pdb","AF-A0A5C3Q954-F1-model_v4",236,0.541,436,152,4,2,391,47,480,1,3.334e-60,2297
"99_FUN001815T1unrelaxedrank001alphafold2ptmmodel3seed000.pdb","AF-A0A0C9VRY9-F1-model_v4",240,0.547,438,151,4,2,392,56,493,1,2.84e-59,2275
"99_FUN001815T1unrelaxedrank001alphafold2ptmmodel3seed000.pdb","AF-A0A409VRY1-F1-model_v4",214,0.491,435,175,2,2,392,11,443,1,2.724e-58,2258
"99_FUN001815T1unrelaxedrank001alphafold2ptmmodel3seed000.pdb","AF-A0A409XB18-F1-model_v4",228,0.524,435,161,3,2,392,29,461,1,5.241e-58,2244
"99_FUN001815T1unrelaxedrank001alphafold2ptmmodel3seed000.pdb","AF-A0A6A6CXT3-F1-model_v4",204,0.449,454,188,5,1,392,24,477,1,1.272e-54,2102
"102_FUN001856T1unrelaxedrank001alphafold2ptmmodel3seed000.pdb","AF-J3NYP6-F1-model_v4",72,0.369,195,108,7,10,195,116,304,1,1.449e-23,841
"102_FUN001856T1unrelaxedrank001alphafold2ptmmodel3seed000.pdb","AF-A0A1L7XJV4-F1-model_v4",79,0.424,186,99,5,11,196,62,239,1,6.443e-23,834
"102_FUN001856T1unrelaxedrank001alphafold2ptmmodel3seed000.pdb","AF-A0A1Y2DSV4-F1-model_v4",58,0.297,195,127,6,10,195,5,198,1,3.515e-21,738
"102_FUN001856T1unrelaxedrank001alphafold2ptmmodel3seed000.pdb","AF-A0A2T3A5Y9-F1-model_v4",69,0.341,202,118,8,1,188,29,229,1,3.827e-20,659
"102_FUN001856T1unrelaxedrank001alphafold2ptmmodel3seed000.pdb","AF-A0A423WTE0-F1-model_v4",64,0.342,187,92,8,12,190,67,230,1,3.036e-15,483
"107_FUN001970T1unrelaxedrank001alphafold2ptmmodel3seed000.pdb","AF-A0A132B635-F1-model_v4",21,0.157,133,78,5,3,135,79,177,1,0.000469,128
"107_FUN001970T1unrelaxedrank001alphafold2ptmmodel3seed000.pdb","AF-A0A5N7AH00-F1-model_v4",16,0.122,131,83,6,3,133,60,158,1,0.001338,123
"107_FUN001970T1unrelaxedrank001alphafold2ptmmodel3seed000.pdb","AF-A0A2P2HJI7-F1-model_v4",16,0.122,131,83,6,3,133,82,180,1,0.001628,121
"107_FUN001970T1unrelaxedrank001alphafold2ptmmodel3seed000.pdb","AF-A0A5M9MVU8-F1-model_v4",11,0.076,144,88,6,3,143,80,181,1,0.001628,115
"107_FUN001970T1unrelaxedrank001alphafold2ptmmodel3seed000.pdb","AF-A0A7U2HV09-F1-model_v4",27,0.198,136,78,7,4,134,79,188,1,0.0003166,110
"10_FUN000182T1unrelaxedrank001alphafold2ptmmodel3seed000.pdb","AF-A0A1R3S1F9-F1-model_v4",360,0.753,478,114,1,20,497,4,477,1,3.931e-87,3487
"10_FUN000182T1unrelaxedrank001alphafold2ptmmodel3seed000.pdb","AF-A0A7T7BNH1-F1-model_v4",356,0.719,495,133,2,1,493,134,624,1,1.951e-86,3453
"10_FUN000182T1unrelaxedrank001alphafold2ptmmodel3seed000.pdb","AF-N4UZD2-F1-model_v4",353,0.708,498,130,4,1,493,53,540,1,1.364e-85,3379
"10_FUN000182T1unrelaxedrank001alphafold2ptmmodel3seed000.pdb","AF-K3V7X3-F1-model_v4",350,0.704,497,132,5,1,493,51,536,1,2.87e-85,3359
"10_FUN000182T1unrelaxedrank001alphafold2ptmmodel3seed000.pdb","AF-A0A0F8CZ89-F1-model_v4",325,0.647,502,159,4,1,495,53,543,1,1.644e-82,3228
"119_FUN002220T1unrelaxedrank001alphafold2ptmmodel2seed000.pdb","AF-A0A5M8PFI4-F1-model_v4",194,0.573,338,141,2,2,338,16,351,1,2.869e-51,1853
"119_FUN002220T1unrelaxedrank001alphafold2ptmmodel2seed000.pdb","AF-A0A2G5HZU5-F1-model_v4",149,0.447,333,171,7,2,332,22,343,1,5.343e-41,1424
"119_FUN002220T1unrelaxedrank001alphafold2ptmmodel2seed000.pdb","AF-M3D2A4-F1-model_v4",146,0.438,333,175,7,2,332,22,344,1,7.761e-41,1413
"119_FUN002220T1unrelaxedrank001alphafold2ptmmodel2seed000.pdb","AF-Q873Y0-F1-model_v4",164,0.48,341,155,7,2,342,23,341,1,1.638e-40,1396
"119_FUN002220T1unrelaxedrank001alphafold2ptmmodel2seed000.pdb","AF-A0A2I0RWZ2-F1-model_v4",154,0.441,349,176,9,2,342,22,359,1,2.694e-41,1390
"122_FUN002283T1unrelaxedrank001alphafold2ptmmodel3seed000.pdb","AF-A0A5M8PCC7-F1-model_v4",234,0.496,471,228,5,8,472,57,524,1,1.16e-65,2576
"122_FUN002283T1unrelaxedrank001alphafold2ptmmodel3seed000.pdb","AF-A0A0F8A5J6-F1-model_v4",155,0.336,460,292,7,17,471,37,488,1,2.187e-49,1859
"122_FUN002283T1unrelaxedrank001alphafold2ptmmodel3seed000.pdb","AF-A0A0A2JSG8-F1-model_v4",149,0.311,478,307,9,5,473,33,497,1,6.701e-48,1792
"122_FUN002283T1unrelaxedrank001alphafold2ptmmodel3seed000.pdb","AF-A0A1F5L678-F1-model_v4",144,0.311,463,303,6,5,462,36,487,1,5.53e-47,1748
"122_FUN002283T1unrelaxedrank001alphafold2ptmmodel3seed000.pdb","AF-A0A5N6DBX6-F1-model_v4",162,0.338,479,295,9,5,473,17,483,1,5.223e-47,1733
"128_FUN002336T1unrelaxedrank001alphafold2ptmmodel2seed000.pdb","AF-F2RUU2-F1-model_v4",19,0.372,51,24,3,1,44,380,429,0.72,1.728,58
"7_FUN000106T1unrelaxedrank001alphafold2ptmmodel4seed000.pdb","AF-A0A0E0F0C5-F1-model_v4",27,0.201,134,87,10,3,122,262,389,1,0.0005526,141
"7_FUN000106T1unrelaxedrank001alphafold2ptmmodel4seed000.pdb","AF-A0A6P6U5N5-F1-model_v4",21,0.154,136,80,7,2,123,30,144,1,0.0005526,123
"7_FUN000106T1unrelaxedrank001alphafold2ptmmodel4seed000.pdb","AF-A0A7J7HC38-F1-model_v4",19,0.143,132,79,6,4,119,27,140,1,0.008344,110
"7_FUN000106T1unrelaxedrank001alphafold2ptmmodel4seed000.pdb","AF-S8D419-F1-model_v4",20,0.148,135,82,6,3,122,2,118,0.999,0.01721,97
"7_FUN000106T1unrelaxedrank001alphafold2ptmmodel4seed000.pdb","AF-A0A4S4CXR9-F1-model_v4",16,0.158,101,56,5,30,122,39,118,0.933,0.1338,70
"82_FUN001264T1unrelaxedrank001alphafold2ptmmodel3seed000.pdb","AF-A0A067TBQ3-F1-model_v4",334,0.617,541,181,10,3,536,31,552,1,8.249e-79,3315
"82_FUN001264T1unrelaxedrank001alphafold2ptmmodel3seed000.pdb","AF-A0A4T0B7E3-F1-model_v4",293,0.547,535,217,8,6,536,9,522,1,8.913e-76,3195
"82_FUN001264T1unrelaxedrank001alphafold2ptmmodel3seed000.pdb","AF-A0A5C2S5A4-F1-model_v4",282,0.54,522,226,8,2,521,17,526,1,1.637e-73,3029
"82_FUN001264T1unrelaxedrank001alphafold2ptmmodel3seed000.pdb","AF-A0A5C3PFP1-F1-model_v4",277,0.523,529,235,10,2,527,51,565,1,7.356e-72,2949
"82_FUN001264T1unrelaxedrank001alphafold2ptmmodel3seed000.pdb","AF-A0A067NE06-F1-model_v4",267,0.5,533,237,13,1,521,18,533,1,3.083e-68,2763
"97_FUN001769T1unrelaxedrank001alphafold2ptmmodel3seed000.pdb","AF-A0A1V8UQ83-F1-model_v4",347,0.56,619,254,11,1,609,22,632,1,1.283e-90,3429
"97_FUN001769T1unrelaxedrank001alphafold2ptmmodel3seed000.pdb","AF-A0A1F5LL44-F1-model_v4",259,0.41,631,334,15,1,601,27,649,1,1.425e-75,2764
"97_FUN001769T1unrelaxedrank001alphafold2ptmmodel3seed000.pdb","AF-A0A0A2KRJ6-F1-model_v4",263,0.428,614,332,13,1,601,4,611,1,1.182e-74,2741
"97_FUN001769T1unrelaxedrank001alphafold2ptmmodel3seed000.pdb","AF-A0A544ZWM8-F1-model_v4",239,0.391,611,339,15,1,597,19,610,1,4.515e-72,2632
"97_FUN001769T1unrelaxedrank001alphafold2ptmmodel3seed000.pdb","AF-R7S1A6-F1-model_v4",260,0.398,653,329,17,1,601,23,663,1,2.274e-72,2536
"103_FUN001885T1unrelaxedrank001alphafold2ptmmodel3seed000.pdb","AF-A0A6A6J9Y6-F1-model_v4",295,0.539,547,222,6,3,530,93,628,1,1.209e-73,2866
"103_FUN001885T1unrelaxedrank001alphafold2ptmmodel3seed000.pdb","AF-A0A6P8AR07-F1-model_v4",296,0.532,556,233,5,1,530,145,699,1,9.974e-72,2733
"103_FUN001885T1unrelaxedrank001alphafold2ptmmodel3seed000.pdb","AF-A0A0L0W0A1-F1-model_v4",171,0.353,484,294,9,55,528,25,499,1,4.571e-53,2022
"103_FUN001885T1unrelaxedrank001alphafold2ptmmodel3seed000.pdb","AF-A0A409WTL9-F1-model_v4",167,0.344,485,294,13,55,528,23,494,1,5.477e-48,1827
"103_FUN001885T1unrelaxedrank001alphafold2ptmmodel3seed000.pdb","AF-A0A409W0M6-F1-model_v4",152,0.293,518,307,13,55,528,23,525,1,6.038e-45,1644
"226_FUN004004T1unrelaxedrank001alphafold2ptmmodel4seed000.pdb","AF-A0A0S7E3P3-F1-model_v4",123,0.65,189,63,2,1,186,25,213,1,1.753e-28,1243
"226_FUN004004T1unrelaxedrank001alphafold2ptmmodel4seed000.pdb","AF-A0A5M3Z6T7-F1-model_v4",125,0.657,190,61,2,1,186,24,213,1,2.183e-28,1229
"226_FUN004004T1unrelaxedrank001alphafold2ptmmodel4seed000.pdb","AF-A0A510NWM7-F1-model_v4",122,0.645,189,64,1,1,186,25,213,1,3.035e-28,1224
"226_FUN004004T1unrelaxedrank001alphafold2ptmmodel4seed000.pdb","AF-A0A0U1LWF8-F1-model_v4",122,0.645,189,64,1,1,186,84,272,1,1.956e-28,1223
"226_FUN004004T1unrelaxedrank001alphafold2ptmmodel4seed000.pdb","AF-A0A5M9MNV3-F1-model_v4",124,0.659,188,61,1,1,185,70,257,1,6.196e-28,1209
"251_FUN004812T1unrelaxedrank001alphafold2ptmmodel2seed000.pdb","AF-A0A4U0WMI9-F1-model_v4",174,0.701,248,74,0,3,250,30,277,1,4.233e-39,1749
"251_FUN004812T1unrelaxedrank001alphafold2ptmmodel2seed000.pdb","AF-A0A1X7RWD6-F1-model_v4",156,0.607,257,98,1,2,255,29,285,1,5.176e-37,1657
"251_FUN004812T1unrelaxedrank001alphafold2ptmmodel2seed000.pdb","AF-A0A150V3W3-F1-model_v4",157,0.608,258,97,2,1,255,40,296,1,6.74e-37,1643
"251_FUN004812T1unrelaxedrank001alphafold2ptmmodel2seed000.pdb","AF-A0A2I1CD30-F1-model_v4",158,0.642,246,87,1,1,246,25,269,1,2.271e-36,1642
"251_FUN004812T1unrelaxedrank001alphafold2ptmmodel2seed000.pdb","AF-A0A397H4G1-F1-model_v4",166,0.633,262,87,2,1,254,25,285,1,5.753e-37,1623
"253_FUN004854T1unrelaxedrank001alphafold2ptmmodel2seed000.pdb","AF-A0A165GMI8-F1-model_v4",62,0.548,113,51,0,5,117,48,160,1,6.159e-15,605
"253_FUN004854T1unrelaxedrank001alphafold2ptmmodel2seed000.pdb","AF-A0A3D8RVQ0-F1-model_v4",56,0.478,117,60,1,1,117,35,150,1,6.159e-15,596
"253_FUN004854T1unrelaxedrank001alphafold2ptmmodel2seed000.pdb","AF-A0A5N5DPK7-F1-model_v4",59,0.513,115,56,0,3,117,58,172,1,1.011e-14,594
"253_FUN004854T1unrelaxedrank001alphafold2ptmmodel2seed000.pdb","AF-A0A6A6BX49-F1-model_v4",53,0.49,108,55,0,4,111,47,154,1,8.198e-13,525
"253_FUN004854T1unrelaxedrank001alphafold2ptmmodel2seed000.pdb","AF-A0A5M9MPZ6-F1-model_v4",35,0.315,111,68,4,5,115,405,507,1,1.299e-09,379
"267_FUN005038T1unrelaxedrank001alphafold2ptmmodel3seed000.pdb","AF-T0KPG9-F1-model_v4",65,0.18,360,197,13,1,264,67,424,1,1.935e-12,522
"267_FUN005038T1unrelaxedrank001alphafold2ptmmodel3seed000.pdb","AF-A0A3M9XZ81-F1-model_v4",63,0.172,366,195,15,1,264,38,397,1,5.127e-11,456
"270_FUN005061T1unrelaxedrank001alphafold2ptmmodel3seed000.pdb","AF-A0A5N6L4G7-F1-model_v4",75,0.496,151,73,1,2,152,20,167,1,9.341e-11,531
"270_FUN005061T1unrelaxedrank001alphafold2ptmmodel3seed000.pdb","AF-J3SFR0-F1-model_v4",66,0.423,156,84,2,6,157,48,201,1,5.096e-10,482
"270_FUN005061T1unrelaxedrank001alphafold2ptmmodel3seed000.pdb","AF-A0A7H8RAL1-F1-model_v4",64,0.405,158,86,3,1,154,17,170,1,3.984e-09,437
"270_FUN005061T1unrelaxedrank001alphafold2ptmmodel3seed000.pdb","AF-A0A0U5GCG0-F1-model_v4",65,0.382,170,90,3,1,157,29,196,1,6.937e-10,423
"270_FUN005061T1unrelaxedrank001alphafold2ptmmodel3seed000.pdb","AF-A0A165EYT7-F1-model_v4",55,0.321,171,93,4,1,150,31,199,1,2.536e-08,385
"464_FUN008637T1unrelaxedrank001alphafold2ptm.pdb","AF-C4JJA1-F1-model_v4",151,0.543,278,112,2,3,265,23,300,1,2.814e-36,1468
"464_FUN008637T1unrelaxedrank001alphafold2ptm.pdb","AF-S8B6S8-F1-model_v4",142,0.522,272,118,2,1,260,20,291,1,4.968e-36,1455
"464_FUN008637T1unrelaxedrank001alphafold2ptm.pdb","AF-A0A317X2D8-F1-model_v4",145,0.525,276,116,5,2,263,31,305,1,1.101e-35,1432
"464_FUN008637T1unrelaxedrank001alphafold2ptm.pdb","AF-A0A7T6XHW8-F1-model_v4",143,0.512,279,118,6,1,268,18,289,1,1.306e-35,1425
"464_FUN008637T1unrelaxedrank001alphafold2ptm.pdb","AF-D4DJM5-F1-model_v4",137,0.505,271,120,4,1,258,217,486,1,2.178e-35,1409
"471_FUN008764T1unrelaxedrank001alphafold2ptm.pdb","AF-A0A4U5PT89-F1-model_v4",14,0.112,124,73,9,15,131,36,129,0.72,0.1243,58
"471_FUN008764T1unrelaxedrank001alphafold2ptm.pdb","AF-A0A178AWX6-F1-model_v4",8,0.066,121,86,9,15,128,53,153,0.632,0.4773,55
"471_FUN008764T1unrelaxedrank001alphafold2ptm.pdb","AF-A0A2P5C9K0-F1-model_v4",18,0.14,128,83,7,7,131,20,123,0.537,0.39,52
"471_FUN008764T1unrelaxedrank001alphafold2ptm.pdb","AF-A0A1Q6TJ52-F1-model_v4",10,0.161,62,48,2,5,64,79,138,0.082,4.108,29
"528_FUN009699T1unrelaxedrank001alphafold2ptm.pdb","AF-A0A1V8TT27-F1-model_v4",117,0.37,316,164,11,1,300,23,319,1,9.526e-31,1093
"528_FUN009699T1unrelaxedrank001alphafold2ptm.pdb","AF-M3C4X1-F1-model_v4",124,0.364,340,169,12,2,305,20,348,1,3.925e-31,1080
"528_FUN009699T1unrelaxedrank001alphafold2ptm.pdb","AF-A0A1Y1YHB0-F1-model_v4",79,0.272,290,169,9,1,282,26,281,1,4.934e-24,801
"528_FUN009699T1unrelaxedrank001alphafold2ptm.pdb","AF-A0A139B0B2-F1-model_v4",84,0.256,327,194,11,2,307,26,324,1,7.094e-25,793
"528_FUN009699T1unrelaxedrank001alphafold2ptm.pdb","AF-A0A2S6BUE1-F1-model_v4",58,0.219,264,172,8,11,264,15,254,1,3.391e-19,638
"533_FUN009731T1unrelaxedrank001alphafold2ptm.pdb","AF-A0A7C8NY73-F1-model_v4",274,0.603,454,173,4,1,451,34,483,1,1.419e-76,2824
"533_FUN009731T1unrelaxedrank001alphafold2ptm.pdb","AF-A0A093ZD78-F1-model_v4",288,0.634,454,159,4,1,451,32,481,1,7.507e-76,2806
"533_FUN009731T1unrelaxedrank001alphafold2ptm.pdb","AF-A0A1F5L9Z4-F1-model_v4",269,0.592,454,178,4,1,451,37,486,1,5.298e-74,2725
"533_FUN009731T1unrelaxedrank001alphafold2ptm.pdb","AF-A0A1S9RZD3-F1-model_v4",271,0.598,453,175,4,2,451,158,606,1,3.44e-74,2724
"533_FUN009731T1unrelaxedrank001alphafold2ptm.pdb","AF-A0A067M4J8-F1-model_v4",270,0.596,453,175,6,2,451,31,478,1,7.212e-74,2701
"544_FUN009880T1unrelaxedrank001alphafold2ptm.pdb","AF-U4L2B3-F1-model_v4",97,0.5,194,84,3,2,182,38,231,1,1.082e-19,781
"544_FUN009880T1unrelaxedrank001alphafold2ptm.pdb","AF-A0A1Y2LYF1-F1-model_v4",85,0.459,185,89,4,1,175,29,212,1,3.713e-17,574
"544_FUN009880T1unrelaxedrank001alphafold2ptm.pdb","AF-A0A395MU32-F1-model_v4",55,0.317,173,107,4,12,173,40,212,1,1.55e-12,443
"544_FUN009880T1unrelaxedrank001alphafold2ptm.pdb","AF-A0A132BDK9-F1-model_v4",51,0.268,190,102,6,10,170,39,220,1,1.991e-10,340
"544_FUN009880T1unrelaxedrank001alphafold2ptm.pdb","AF-K2S5V5-F1-model_v4",55,0.312,176,100,10,20,180,2,171,1,1.012e-08,293
"552_FUN009945T1unrelaxedrank001alphafold2ptm.pdb","AF-W7MLJ3-F1-model_v4",15,0.375,40,25,0,108,147,22,61,1,0.03479,145
"552_FUN009945T1unrelaxedrank001alphafold2ptm.pdb","AF-W9XG56-F1-model_v4",14,0.35,40,26,0,110,149,10,49,1,0.04903,145
"552_FUN009945T1unrelaxedrank001alphafold2ptm.pdb","AF-Q2GRQ4-F1-model_v4",38,0.17,223,93,7,2,148,20,226,1,7.202e-05,128
"552_FUN009945T1unrelaxedrank001alphafold2ptm.pdb","AF-A0A6A5Y177-F1-model_v4",15,0.151,99,61,6,5,103,37,112,0.971,0.0869,76
"552_FUN009945T1unrelaxedrank001alphafold2ptm.pdb","AF-A0A3L8KVR5-F1-model_v4",20,0.186,107,59,7,1,95,29,119,0.941,0.03479,71
"64_FUN001015T1unrelaxedrank001alphafold2ptmmodel4seed000.pdb","AF-S3CYI0-F1-model_v4",72,0.521,138,58,4,1,134,14,147,1,4.104e-19,686
"64_FUN001015T1unrelaxedrank001alphafold2ptmmodel4seed000.pdb","AF-A0A0C3H1Y4-F1-model_v4",64,0.46,139,68,4,1,134,8,144,1,1.522e-18,678
