genome	completeness	contamination	strain_heterogeneity	genome_size	number_scaffolds	N50	mean_scaffold_length	longest_scaffold	GC	classification	phylum	class	order	family	genus	species	domain
bin.34	83.84	2.32	83.33	4059397	425	12106	9551	49671	69.9	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__CAHJXG01;s__	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	CAHJXG01	Unknown	Bacteria
bin.341	73.61	5.38	75.00	3583304	333	13997	10760	46583	61.8	d__Bacteria;p__Armatimonadota;c__Armatimonadia;o__Armatimonadales;f__Capsulimonadaceae;g__;s__	Armatimonadota	Armatimonadia	Armatimonadales	Capsulimonadaceae	Unknown	Unknown	Bacteria
bin.343	65.52	0	0.00	4676950	635	8983	7365	35161	43.2	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Hymenobacteraceae;g__Adhaeribacter;s__	Bacteroidota	Bacteroidia	Cytophagales	Hymenobacteraceae	Adhaeribacter	Unknown	Bacteria
bin.35	67.06	5.74	18.18	2585803	540	4987	4788	23374	66.9	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Microbacteriaceae;g__Subtercola;s__	Actinobacteriota	Actinomycetia	Actinomycetales	Microbacteriaceae	Subtercola	Unknown	Bacteria
bin.352	88.1	2.89	50.00	3324852	277	18569	12003	63535	41.2	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__HMF7410;s__	Bacteroidota	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	HMF7410	Unknown	Bacteria
bin.354	73.07	3.45	0.00	4599513	571	10397	8055	47838	63.6	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Hymenobacteraceae;g__Hymenobacter;s__	Bacteroidota	Bacteroidia	Cytophagales	Hymenobacteraceae	Hymenobacter	Unknown	Bacteria
bin.356	80.03	3.84	57.89	2463975	225	17347	10951	67764	69.8	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas;s__	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Unknown	Bacteria
bin.357	88.61	4.67	56.52	4793342	660	8857	7262	44506	64.5	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Variovorax;s__	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Variovorax	Unknown	Bacteria
bin.358	62.55	1.72	100.00	4399155	455	12896	9668	56011	71.6	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Lichenihabitans;s__Lichenihabitans ramalinae	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Lichenihabitans	Lichenihabitans ramalinae	Bacteria
bin.363	86.35	6.09	39.29	4695000	533	12103	8808	55923	62.5	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Hymenobacteraceae;g__Hymenobacter;s__	Bacteroidota	Bacteroidia	Cytophagales	Hymenobacteraceae	Hymenobacter	Unknown	Bacteria
bin.37	71.06	0.74	0.00	3204383	597	5595	5367	18141	45.7	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Flavihumibacter;s__	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Flavihumibacter	Unknown	Bacteria
bin.372	84.17	6.19	65.00	2222793	338	8323	6576	28492	64.5	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__UBA1936;s__	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	UBA1936	Unknown	Bacteria
bin.374	92.08	3.92	30.77	5816390	356	24083	16338	115118	74.7	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__CADCTP01;g__CADCTP01;s__	Actinobacteriota	Actinomycetia	Mycobacteriales	CADCTP01	CADCTP01	Unknown	Bacteria
bin.375	99.32	1.57	57.14	4244948	165	42278	25726	137283	71.6	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__;s__	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Unknown	Unknown	Bacteria
bin.377	85.42	0.59	66.67	3084912	288	15673	10711	91112	67.8	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Microbacteriaceae;g__Microbacterium;s__	Actinobacteriota	Actinomycetia	Actinomycetales	Microbacteriaceae	Microbacterium	Unknown	Bacteria
bin.379	96.83	3.89	15.38	3352952	190	26227	17647	79702	69.3	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Dermatophilaceae;g__Allobranchiibius;s__	Actinobacteriota	Actinomycetia	Actinomycetales	Dermatophilaceae	Allobranchiibius	Unknown	Bacteria
bin.380	79.86	2.3	72.73	2424081	354	7887	6847	59037	70.4	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas;s__	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Unknown	Bacteria
bin.381	50.47	7.76	66.67	2006940	358	6103	5605	64919	69.3	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas;s__	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Unknown	Bacteria
bin.382	95.54	1.24	33.33	3755057	64	97943	58672	371795	51.7	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__46-32;s__	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	46-32	Unknown	Bacteria
bin.385	92.87	7.52	23.53	3783734	145	52191	26094	216756	68.8	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas;s__	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Unknown	Bacteria
bin.388	75.9	2.15	100.00	2443901	365	7905	6695	33905	68.6	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Microbacteriaceae;g__Marisediminicola;s__	Actinobacteriota	Actinomycetia	Actinomycetales	Microbacteriaceae	Marisediminicola	Unknown	Bacteria
bin.389	97.78	3.48	44.44	5582931	198	41809	28196	130213	41.8	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Flavihumibacter;s__	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Flavihumibacter	Unknown	Bacteria
bin.40	58.04	0.5	0.00	2215995	393	6012	5638	19717	54.1	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__46-32;s__	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	46-32	Unknown	Bacteria
bin.45	76.21	5.11	6.67	3393122	622	6106	5455	44388	73.2	d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Solirubrobacterales;f__Solirubrobacteraceae;g__SEOHO-28;s__	Actinobacteriota	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	SEOHO-28	Unknown	Bacteria
bin.49	81.71	3.81	26.32	2759807	230	17187	11999	104736	70.7	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas;s__	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Unknown	Bacteria
bin.5	86.97	0.9	0.00	3243307	378	10360	8580	36383	58.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__;s__	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Unknown	Unknown	Bacteria
bin.53	87.09	0.9	14.29	2674991	390	8515	6858	37335	70.4	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Luteimonas;s__	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Luteimonas	Unknown	Bacteria
bin.54	62.21	4.73	28.57	4460138	828	5746	5386	82794	59.7	d__Bacteria;p__Armatimonadota;c__Armatimonadia;o__Armatimonadales;f__Capsulimonadaceae;g__;s__	Armatimonadota	Armatimonadia	Armatimonadales	Capsulimonadaceae	Unknown	Unknown	Bacteria
bin.58	97.26	1.01	50.00	3735741	152	32878	24577	116718	58.6	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__;s__	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Unknown	Unknown	Bacteria
bin.63	65.67	5.17	100.00	2591537	604	4371	4290	14637	66.5	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Variovorax;s__	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Variovorax	Unknown	Bacteria
bin.66	71.21	4.38	45.45	3592946	661	5928	5435	25912	72.6	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Nocardioidaceae;g__Nocardioides;s__	Actinobacteriota	Actinomycetia	Propionibacteriales	Nocardioidaceae	Nocardioides	Unknown	Bacteria
bin.67	90.22	2.4	83.33	3617198	311	17051	11630	69639	70.0	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__CAHJXG01;s__	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	CAHJXG01	Unknown	Bacteria
bin.68	95.37	7.44	65.96	5720237	520	14208	11000	55384	69.6	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Methylobacterium;s__Methylobacterium sp008000895	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Methylobacterium	Methylobacterium sp008000895	Bacteria
bin.70	89.04	5.99	20.00	4210161	634	7854	6640	43970	67.0	d__Bacteria;p__Actinobacteriota;c__Rubrobacteria;o__Rubrobacterales;f__Rubrobacteraceae;g__SCSIO-52915;s__	Actinobacteriota	Rubrobacteria	Rubrobacterales	Rubrobacteraceae	SCSIO-52915	Unknown	Bacteria
bin.73	92.59	6.42	36.11	7176731	606	22643	11842	126857	60.4	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Hymenobacteraceae;g__Hymenobacter;s__	Bacteroidota	Bacteroidia	Cytophagales	Hymenobacteraceae	Hymenobacter	Unknown	Bacteria
bin.77	97.78	1.85	33.33	4031960	86	81825	46883	317160	51.2	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Puia;s__	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Puia	Unknown	Bacteria
bin.80	65.51	9.72	20.00	5992682	1170	5280	5121	160784	69.5	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Microlunatus;s__	Actinobacteriota	Actinomycetia	Propionibacteriales	Propionibacteriaceae	Microlunatus	Unknown	Bacteria
bin.83	76.48	1.52	66.67	3492186	509	8406	6860	37343	55.9	d__Bacteria;p__Armatimonadota;c__Abditibacteria;o__Abditibacteriales;f__Abditibacteriaceae;g__Abditibacterium;s__	Armatimonadota	Abditibacteria	Abditibacteriales	Abditibacteriaceae	Abditibacterium	Unknown	Bacteria
bin.86	84.89	2.68	4.55	4946902	738	7959	6703	29264	70.4	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Kineococcaceae;g__Kineococcus;s__	Actinobacteriota	Actinomycetia	Actinomycetales	Kineococcaceae	Kineococcus	Unknown	Bacteria
bin.87	90.88	5.2	32.00	3212203	260	19088	12354	64288	68.2	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas;s__	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Unknown	Bacteria
bin.88	79.66	1.72	100.00	3486284	173	34819	20151	105700	67.9	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Methylopilaceae;g__Hansschlegelia;s__	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methylopilaceae	Hansschlegelia	Unknown	Bacteria
bin.9	91.62	9.29	92.31	4223687	312	19946	13537	80895	41.7	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__HMF7410;s__	Bacteroidota	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	HMF7410	Unknown	Bacteria
bin.91	95.27	3.92	33.33	3159635	228	22668	13858	92052	64.8	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas;s__	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Unknown	Bacteria
bin.92	80.1	0	0.00	3369242	57	103062	59109	239480	71.4	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__CAHJXG01;s__	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	CAHJXG01	Unknown	Bacteria
bin.94	94.24	4.65	21.43	2710388	213	18283	12724	54491	73.1	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Microbacteriaceae;g__Amnibacterium;s__	Actinobacteriota	Actinomycetia	Actinomycetales	Microbacteriaceae	Amnibacterium	Unknown	Bacteria
