Orthogroup	Astpho2 Asterochloris glomerata	Auxeprot1 Auxenochlorella protothecoides	Batpra1 Bathycoccus prasinos	Botrbrau1 Botryococcus braunii	Chabra1 Chara braunii	Chleu1 Chlamydomonas eustigma	Chlorella Chlorella variabilis NC64A	Chloso1228 Chlorella sorokiana	Coccomyxa Coccomyxa subellipsoidea	GTX0465.bin.1.proteins GTX0465.bin.1.proteins	GTX0468.bin.53.proteins GTX0468.bin.53.proteins	GTX0493.bin.23.proteins GTX0493.bin.23.proteins	TrebA12 Trebouxia A1-2	Ulvmu1 Ulva mutabilis	Volca2 Volvox carteri	coassembly.bin.195.proteins coassembly.bin.195.proteins	trebgel Trebouxia gelatinosa	trebus Trebouxia sp. TZW2008
OG0002989	jgi|Astpho2|2917|fgenesh1_pm.00050_%23_57_t	jgi|Auxeprot1|35|XM_011397398.1	jgi|Batpra1|6850|XM_007511951.1	jgi|Botrbrau1|9144|Bobra.160_3s0017.1	jgi|Chabra1|354477|rna-CBR_g501	jgi|Chleu1|10437|rna-CEUSTIGMA_g8136.t1	jgi|ChlNC64A_1|33701|estExt_Genewise1Plus.C_10695	jgi|Chloso1228_1|6858|CSI_122800011010-RA	jgi|Coc_C169_1|67216|estExt_Genemark1.C_140122	GTX0465b1_005233-T1	GTX0468b53_005358-T1	GTX0493b23_003445-T1	jgi|TrebA12_1|6672|rna-gnl|WGS_VXIU|FRX49_01088-mRNA-1_mrna_FRX49_01088	jgi|Ulvmu1|9597|UM054_0027.1	jgi|Volca2_1|5013|Vocar.0019s0108.1	coassemb195_005220-T1	KN805369.1_6909968-6911694	BDIU01000133.1_83552-87089
OG0002993	jgi|Astpho2|2993|Aster-03302	jgi|Auxeprot1|3545|XM_011402776.1	jgi|Batpra1|4989|XM_007513816.1	jgi|Botrbrau1|21840|Bobra.0190s0054.1	jgi|Chabra1|337627|rna-CBR_g30116	jgi|Chleu1|9876|rna-CEUSTIGMA_g1457.t1	jgi|ChlNC64A_1|59658|estExt_fgenesh3_kg.C_80007	jgi|Chloso1228_1|2930|CSI_122800007597-RA	jgi|Coc_C169_1|53820|estExt_fgenesh1_pm.C_100158	GTX0465b1_002292-T1	GTX0468b53_009157-T1	GTX0493b23_000314-T1	jgi|TrebA12_1|4295|rna-gnl|WGS_VXIU|FRX49_06557-mRNA-1_mrna_FRX49_06557	jgi|Ulvmu1|11107|UM070_0023.1	jgi|Volca2_1|14047|Vocar.0065s0012.2	coassemb195_012263-T1	KN805366.1_1193679-1200281	BDIU01000023.1_213462-215700
OG0002999	jgi|Astpho2|3039|e_gw1.00051.126.1_t	jgi|Auxeprot1|3549|XM_011402780.1	jgi|Batpra1|1923|XM_007509697.1	jgi|Botrbrau1|23153|Bobra.0041s0005.1	jgi|Chabra1|321404|rna-CBR_g4282	jgi|Chleu1|9102|rna-CEUSTIGMA_g7171.t1	jgi|ChlNC64A_1|48757|fgenesh3_pm.C_scaffold_8000028	jgi|Chloso1228_1|2919|CSI_122800007586-RA	jgi|Coc_C169_1|29636|estExt_Genewise1Plus.C_100240	GTX0465b1_006920-T1	GTX0468b53_002297-T1	GTX0493b23_001312-T1	jgi|TrebA12_1|5171|rna-gnl|WGS_VXIU|FRX49_07086-mRNA-1_mrna_FRX49_07086	jgi|Ulvmu1|12872|UM098_0059.1	jgi|Volca2_1|15753|Vocar.0009s0167.2	coassemb195_002028-T1	KN805369.1_5643041-5643870	BDIU01000063.1_648112-651493
OG0003000	jgi|Astpho2|3058|e_gw1.00051.159.1_t	jgi|Auxeprot1|5480|XM_011397291.1	jgi|Batpra1|1150|XM_007510707.1	jgi|Botrbrau1|5028|Bobra.0396s0041.1	jgi|Chabra1|342266|rna-CBR_g36847	jgi|Chleu1|7849|rna-CEUSTIGMA_g6255.t1	jgi|ChlNC64A_1|142990|IGS.gm_5_00319	jgi|Chloso1228_1|5502|CSI_122800001386-RA	jgi|Coc_C169_1|37026|fgenesh1_pm.10_#_114	GTX0465b1_002201-T1	GTX0468b53_000519-T1	GTX0493b23_002651-T1	jgi|TrebA12_1|5149|rna-gnl|WGS_VXIU|FRX49_07050-mRNA-1_mrna_FRX49_07050	jgi|Ulvmu1|11046|UM007_0228.1	jgi|Volca2_1|12589|Vocar.0005s0416.1	coassemb195_000870-T1	KN805353.1_1217576-1223229	BDIU01000063.1_560887-563161
OG0003001	jgi|Astpho2|3089|e_gw1.00051.118.1_t	jgi|Auxeprot1|6219|XM_011399028.1	jgi|Batpra1|1061|XM_007510715.1	jgi|Botrbrau1|21524|Bobra.174_2s0027.1	jgi|Chabra1|322725|rna-CBR_g5582	jgi|Chleu1|7854|rna-CEUSTIGMA_g6260.t1	jgi|ChlNC64A_1|35116|estExt_Genewise1Plus.C_80178	jgi|Chloso1228_1|3082|CSI_122800007749-RA	jgi|Coc_C169_1|42633|fgenesh1_pg.10_#_136	GTX0465b1_004589-T1	GTX0468b53_003191-T1	GTX0493b23_005515-T1	jgi|TrebA12_1|5103|rna-gnl|WGS_VXIU|FRX49_07121-mRNA-1_mrna_FRX49_07121	jgi|Ulvmu1|2863|UM146_0005.1	jgi|Volca2_1|10797|Vocar.0004s0180.1	coassemb195_007499-T1	KN805287.1_12885-19319	BDIU01000063.1_395128-399333
OG0003004	jgi|Astpho2|3120|Aster-03407	jgi|Auxeprot1|1220|XM_011400881.1	jgi|Batpra1|7768|XM_007511071.1	jgi|Botrbrau1|21531|Bobra.174_2s0034.1	jgi|Chabra1|338289|rna-CBR_g30870	jgi|Chleu1|5040|rna-CEUSTIGMA_g4332.t1	jgi|ChlNC64A_1|51950|fgenesh3_pg.C_scaffold_8000237	jgi|Chloso1228_1|8387|CSI_122800011887-RA	jgi|Coc_C169_1|47777|estExt_fgenesh1_pg.C_100069	GTX0465b1_004563-T1	GTX0468b53_009567-T1	GTX0493b23_006450-T1	jgi|TrebA12_1|5038|rna-gnl|WGS_VXIU|FRX49_06848-mRNA-1_mrna_FRX49_06848	jgi|Ulvmu1|508|UM001_0516.1	jgi|Volca2_1|9061|Vocar.0030s0079.1	coassemb195_005217-T1	KN805357.1_693692-698188	BDIU01000223.1_40764-42041
OG0003005	jgi|Astpho2|3130|Aster-03414	jgi|Auxeprot1|527|XM_011400188.1	jgi|Batpra1|6639|XM_007511897.1	jgi|Botrbrau1|23216|Bobra.0041s0060.1	jgi|Chabra1|346383|rna-CBR_g48305	jgi|Chleu1|2575|rna-CEUSTIGMA_g12225.t1	jgi|ChlNC64A_1|48753|fgenesh3_pm.C_scaffold_8000024	jgi|Chloso1228_1|2966|CSI_122800007633-RA	jgi|Coc_C169_1|16564|e_gw1.10.348.1	GTX0465b1_004555-T1	GTX0468b53_009767-T1	GTX0493b23_003004-T1	jgi|TrebA12_1|5077|rna-gnl|WGS_VXIU|FRX49_07053-mRNA-1_mrna_FRX49_07053	jgi|Ulvmu1|7006|UM033_0064.1	jgi|Volca2_1|13524|Vocar.0006s0192.1	coassemb195_000744-T1	KN805369.1_231344-239273	BDIU01000223.1_14659-17943
OG0003007	jgi|Astpho2|3166|Aster-05699	jgi|Auxeprot1|1153|XM_011400814.1	jgi|Batpra1|793|XM_007510603.1	jgi|Botrbrau1|15608|Bobra.0264s0008.1	jgi|Chabra1|331626|rna-CBR_g20098	jgi|Chleu1|7246|rna-CEUSTIGMA_g5751.t1	jgi|ChlNC64A_1|21468|e_gw1.6.164.1	jgi|Chloso1228_1|9620|CSI_122800003478-RA	jgi|Coc_C169_1|15617|e_gw1.8.343.1	GTX0465b1_005329-T1	GTX0468b53_007456-T1	GTX0493b23_007708-T1	jgi|TrebA12_1|8390|rna-gnl|WGS_VXIU|FRX49_01291-mRNA-1_mrna_FRX49_01291	jgi|Ulvmu1|4520|UM002_0246.1	jgi|Volca2_1|2882|Vocar.0013s0019.1	coassemb195_007357-T1	KN805346.1_6104-10099	BDIU01000038.1_90453-92151
OG0003010	jgi|Astpho2|3217|e_gw1.00052.134.1_t	jgi|Auxeprot1|1156|XM_011400817.1	jgi|Batpra1|673|XM_007515444.1	jgi|Botrbrau1|18974|Bobra.0100s0011.1	jgi|Chabra1|352468|rna-CBR_g50044	jgi|Chleu1|10672|rna-CEUSTIGMA_g8372.t1	jgi|ChlNC64A_1|30584|estExt_Genewise1.C_60247	jgi|Chloso1228_1|9604|CSI_122800003462-RA	jgi|Coc_C169_1|68044|estExt_Genemark1.C_210032	GTX0465b1_006599-T1	GTX0468b53_004628-T1	GTX0493b23_000253-T1	jgi|TrebA12_1|13364|rna-gnl|WGS_VXIU|FRX49_03505-mRNA-1_mrna_FRX49_03505	jgi|Ulvmu1|1488|UM011_0218.1	jgi|Volca2_1|6137|Vocar.0020s0177.1	coassemb195_008440-T1	KN805369.1_3764957-3767793	BDIU01000301.1_163682-165856
OG0003013	jgi|Astpho2|3263|Aster-08030	jgi|Auxeprot1|3324|XM_011397702.1	jgi|Batpra1|235|XM_007515056.1	jgi|Botrbrau1|6591|Bobra.0189s0018.1	jgi|Chabra1|352052|rna-CBR_g49534	jgi|Chleu1|5408|rna-CEUSTIGMA_g4539.t1	jgi|ChlNC64A_1|137125|IGS.gm_18_00231	jgi|Chloso1228_1|7663|CSI_122800002006-RA	jgi|Coc_C169_1|48948|estExt_fgenesh1_pg.C_190135	GTX0465b1_001574-T1	GTX0468b53_007728-T1	GTX0493b23_001164-T1	jgi|TrebA12_1|2889|rna-gnl|WGS_VXIU|FRX49_05770-mRNA-1_mrna_FRX49_05770	jgi|Ulvmu1|1405|UM011_0134.1	jgi|Volca2_1|1343|Vocar.0001s1205.1	coassemb195_011170-T1	KN805357.1_893328-898708	BDIU01000189.1_274551-279236
OG0003028	jgi|Astpho2|3712|e_gw1.00060.65.1_t	jgi|Auxeprot1|1279|XM_011400940.1	jgi|Batpra1|6283|XM_007512283.1	jgi|Botrbrau1|8286|Bobra.0251s0015.1	jgi|Chabra1|327702|rna-CBR_g12172	jgi|Chleu1|1596|rna-CEUSTIGMA_g2801.t1	jgi|ChlNC64A_1|56059|estExt_fgenesh3_pm.C_50009	jgi|Chloso1228_1|5788|CSI_122800001672-RA	jgi|Coc_C169_1|30660|estExt_Genewise1Plus.C_150150	GTX0465b1_007295-T1	GTX0468b53_001568-T1	GTX0493b23_009229-T1	jgi|TrebA12_1|3945|rna-gnl|WGS_VXIU|FRX49_06267-mRNA-1_mrna_FRX49_06267	jgi|Ulvmu1|7273|UM035_0061.1	jgi|Volca2_1|12399|Vocar.0005s0260.1	coassemb195_009281-T1	KN805290.1_1257788-1262509	BDIU01000139.1_218484-222240
OG0003037	jgi|Astpho2|3893|fgenesh1_pg.00062_%23_60_t	jgi|Auxeprot1|3027|XM_011402489.1	jgi|Batpra1|2802|XM_007508712.1	jgi|Botrbrau1|7894|Bobra.9_2s0067.1	jgi|Chabra1|321314|rna-CBR_g263	jgi|Chleu1|4063|rna-CEUSTIGMA_g13011.t1	jgi|ChlNC64A_1|144088|IGS.gm_7_00030	jgi|Chloso1228_1|2852|CSI_122800008442-RA	jgi|Coc_C169_1|60234|Genemark1.8550_g	GTX0465b1_009262-T1	GTX0468b53_000344-T1	GTX0493b23_004285-T1	jgi|TrebA12_1|1262|rna-gnl|WGS_VXIU|FRX49_13056-mRNA-1_mrna_FRX49_13056	jgi|Ulvmu1|8883|UM049_0065.1	jgi|Volca2_1|7800|Vocar.0027s0095.1	coassemb195_000770-T1	KN805367.1_5254353-5258149	BDIU01000146.1_295665-297296
OG0003042	jgi|Astpho2|4011|Aster-01172	jgi|Auxeprot1|3981|XM_011397907.1	jgi|Batpra1|4739|XM_007513972.1	jgi|Botrbrau1|20735|Bobra.0058s0063.1	jgi|Chabra1|331866|rna-CBR_g20321	jgi|Chleu1|3196|rna-CEUSTIGMA_g3541.t1	jgi|ChlNC64A_1|135887|IGS.gm_14_00420	jgi|Chloso1228_1|7046|CSI_122800010853-RA	jgi|Coc_C169_1|39816|fgenesh1_pg.2_#_428	GTX0465b1_001426-T1	GTX0468b53_013159-T1	GTX0493b23_000502-T1	jgi|TrebA12_1|7048|rna-gnl|WGS_VXIU|FRX49_08718-mRNA-1_mrna_FRX49_08718	jgi|Ulvmu1|7939|UM004_0172.1	jgi|Volca2_1|14563|Vocar.0007s0349.1	coassemb195_005322-T1	KN805369.1_2195760-2201893	BDIU01000240.1_248131-250238
OG0003051	jgi|Astpho2|4251|e_gw1.00064.61.1_t	jgi|Auxeprot1|140|XM_011399877.1	jgi|Batpra1|5353|XM_007513426.1	jgi|Botrbrau1|3963|Bobra.0365s0036.1	jgi|Chabra1|342625|rna-CBR_g37218	jgi|Chleu1|5022|rna-CEUSTIGMA_g4314.t1	jgi|ChlNC64A_1|51897|fgenesh3_pg.C_scaffold_8000184	jgi|Chloso1228_1|2980|CSI_122800007647-RA	jgi|Coc_C169_1|21970|estExt_Genewise1.C_20692	GTX0465b1_009902-T1	GTX0468b53_001804-T1	GTX0493b23_006195-T1	jgi|TrebA12_1|5003|rna-gnl|WGS_VXIU|FRX49_07072-mRNA-1_mrna_FRX49_07072	jgi|Ulvmu1|1388|UM011_0116.1	jgi|Volca2_1|9132|Vocar.0030s0145.1	coassemb195_005127-T1	KN805263.1_62602-67822	BDIU01000196.1_23507-26782
OG0003057	jgi|Astpho2|4352|e_gw1.00066.13.1_t	jgi|Auxeprot1|3909|XM_011403140.1	jgi|Batpra1|5035|XM_007513680.1	jgi|Botrbrau1|10204|Bobra.116_1s0020.1	jgi|Chabra1|333801|rna-CBR_g23450	jgi|Chleu1|10965|rna-CEUSTIGMA_g1708.t1	jgi|ChlNC64A_1|24150|e_gw1.12.548.1	jgi|Chloso1228_1|1420|CSI_122800005058-RA	jgi|Coc_C169_1|32225|fgenesh1_kg.2_#_110_#_2727_1_CBOZ_CBPA	GTX0465b1_000465-T1	GTX0468b53_002613-T1	GTX0493b23_006216-T1	jgi|TrebA12_1|3841|rna-gnl|WGS_VXIU|FRX49_06234-mRNA-1_mrna_FRX49_06234	jgi|Ulvmu1|6762|UM030_0098.1	jgi|Volca2_1|6600|Vocar.0022s0156.1	coassemb195_009418-T1	KN805362.1_1868810-1874975	BDIU01000202.1_182-3055
OG0003060	jgi|Astpho2|4399|Aster-00018	jgi|Auxeprot1|6389|XM_011399198.1	jgi|Batpra1|4927|XM_007513468.1	jgi|Botrbrau1|14916|Bobra.0018s0020.1	jgi|Chabra1|326535|rna-CBR_g9031	jgi|Chleu1|8782|rna-CEUSTIGMA_g6875.t1	jgi|ChlNC64A_1|59533|estExt_fgenesh3_kg.C_10009	jgi|Chloso1228_1|3826|CSI_122800008962-RA	jgi|Coc_C169_1|25259|estExt_Genewise1.C_150096	GTX0465b1_010003-T1	GTX0468b53_010790-T1	GTX0493b23_009620-T1	jgi|TrebA12_1|12439|rna-gnl|WGS_VXIU|FRX49_12180-mRNA-1_mrna_FRX49_12180	jgi|Ulvmu1|9619|UM054_0049.1	jgi|Volca2_1|11341|Vocar.0041s0014.1	coassemb195_009276-T1	KN805290.1_1326494-1330563	BDIU01000176.1_285686-292357
OG0003069	jgi|Astpho2|4519|Aster-00113	jgi|Auxeprot1|3527|XM_011402758.1	jgi|Batpra1|2992|XM_007508431.1	jgi|Botrbrau1|22480|Bobra.114_2s0010.1	jgi|Chabra1|329175|rna-CBR_g17115	jgi|Chleu1|4369|rna-CEUSTIGMA_g13151.t1	jgi|ChlNC64A_1|36534|estExt_Genewise1Plus.C_180120	jgi|Chloso1228_1|7546|CSI_122800001889-RA	jgi|Coc_C169_1|48100|estExt_fgenesh1_pg.C_120088	GTX0465b1_004420-T1	GTX0468b53_006158-T1	GTX0493b23_008649-T1	jgi|TrebA12_1|7511|rna-gnl|WGS_VXIU|FRX49_09046-mRNA-1_mrna_FRX49_09046	jgi|Ulvmu1|12722|UM095_0026.1	jgi|Volca2_1|856|Vocar.0001s0770.1	coassemb195_000537-T1	KN805267.1_227387-232903	BDIU01000409.1_112260-113649
OG0003081	jgi|Astpho2|4802|fgenesh1_pg.00067_%23_241_t	jgi|Auxeprot1|4611|XM_011403697.1	jgi|Batpra1|5300|XM_007513810.1	jgi|Botrbrau1|5022|Bobra.0396s0036.1	jgi|Chabra1|346148|rna-CBR_g40739	jgi|Chleu1|10254|rna-CEUSTIGMA_g7953.t1	jgi|ChlNC64A_1|28127|e_gw1.31.8.1	jgi|Chloso1228_1|4969|CSI_122800000853-RA	jgi|Coc_C169_1|19582|e_gw1.19.108.1	GTX0465b1_001740-T1	GTX0468b53_003148-T1	GTX0493b23_003790-T1	jgi|TrebA12_1|9770|rna-gnl|WGS_VXIU|FRX49_01919-mRNA-1_mrna_FRX49_01919	jgi|Ulvmu1|10871|UM007_0047.1	jgi|Volca2_1|3602|Vocar.0015s0054.1	coassemb195_004949-T1	JUBA01000956.1_1526-6018	BDIU01000025.1_139931-144942
OG0003085	jgi|Astpho2|4858|fgenesh1_pm.00069_%23_5_t	jgi|Auxeprot1|3001|XM_011402463.1	jgi|Batpra1|2891|XM_007508497.1	jgi|Botrbrau1|19355|Bobra.0822s0001.1	jgi|Chabra1|334363|rna-CBR_g23983	jgi|Chleu1|12204|rna-CEUSTIGMA_g9477.t1	jgi|ChlNC64A_1|35907|estExt_Genewise1Plus.C_130081	jgi|Chloso1228_1|9338|CSI_122800012083-RA	jgi|Coc_C169_1|65555|estExt_Genemark1.C_50451	GTX0465b1_006521-T1	GTX0468b53_001761-T1	GTX0493b23_006062-T1	jgi|TrebA12_1|10942|rna-gnl|WGS_VXIU|FRX49_02489-mRNA-1_mrna_FRX49_02489	jgi|Ulvmu1|12744|UM095_0049.1	jgi|Volca2_1|5983|Vocar.0020s0040.1	coassemb195_004335-T1	KN805357.1_34513-39275	BDIU01000059.1_65627-71978
OG0003091	jgi|Astpho2|4946|Aster-06682	jgi|Auxeprot1|5190|XM_011398134.1	jgi|Batpra1|1778|XM_007509973.1	jgi|Botrbrau1|19185|Bobra.0077s0091.1	jgi|Chabra1|325275|rna-CBR_g8026	jgi|Chleu1|12724|rna-CEUSTIGMA_g2134.t1	jgi|ChlNC64A_1|143934|IGS.gm_6_00508	jgi|Chloso1228_1|9458|CSI_122800003316-RA	jgi|Coc_C169_1|41769|fgenesh1_pg.7_#_173	GTX0465b1_009097-T1	GTX0468b53_006597-T1	GTX0493b23_006495-T1	jgi|TrebA12_1|8281|rna-gnl|WGS_VXIU|FRX49_01582-mRNA-1_mrna_FRX49_01582	jgi|Ulvmu1|5223|UM022_0016.1	jgi|Volca2_1|14069|Vocar.0065s0025.1	coassemb195_000597-T1	KN805357.1_675123-679506	BDIU01000022.1_213014-217421
OG0003099	jgi|Astpho2|5236|Aster-04811	jgi|Auxeprot1|4721|XM_011403807.1	jgi|Batpra1|2673|XM_007508822.1	jgi|Botrbrau1|18463|Bobra.0072s0046.1	jgi|Chabra1|347780|rna-CBR_g44540	jgi|Chleu1|12010|rna-CEUSTIGMA_g9283.t1	jgi|ChlNC64A_1|140862|IGS.gm_3_00601	jgi|Chloso1228_1|11088|CSI_122800004905-RA	jgi|Coc_C169_1|54065|estExt_fgenesh1_pm.C_120147	GTX0465b1_008881-T1	GTX0468b53_004331-T1	GTX0493b23_008037-T1	jgi|TrebA12_1|1388|rna-gnl|WGS_VXIU|FRX49_04391-mRNA-1_mrna_FRX49_04391	jgi|Ulvmu1|995|UM103_0023.1	jgi|Volca2_1|8825|Vocar.0003s0385.1	coassemb195_006112-T1	KN805262.1_16561-20672	BDIU01000246.1_36896-40651
OG0003100	jgi|Astpho2|5269|gw1.00074.155.1_t	jgi|Auxeprot1|3896|XM_011403127.1	jgi|Batpra1|5993|XM_007512593.1	jgi|Botrbrau1|16456|Bobra.0142s0052.1	jgi|Chabra1|333768|rna-CBR_g29411	jgi|Chleu1|7239|rna-CEUSTIGMA_g5744.t1	jgi|ChlNC64A_1|23945|e_gw1.12.317.1	jgi|Chloso1228_1|1523|CSI_122800005161-RA	jgi|Coc_C169_1|29043|estExt_Genewise1Plus.C_80038	GTX0465b1_004706-T1	GTX0468b53_003655-T1	GTX0493b23_006539-T1	jgi|TrebA12_1|9304|rna-gnl|WGS_VXIU|FRX49_10382-mRNA-1_mrna_FRX49_10382	jgi|Ulvmu1|12107|UM084_0032.1	jgi|Volca2_1|6954|Vocar.0024s0017.1	coassemb195_003659-T1	KN805283.1_49448-51947	BDIU01000336.1_13008-15033
OG0003119	jgi|Astpho2|5582|Aster-02838	jgi|Auxeprot1|1842|XM_011401442.1	jgi|Batpra1|582|XM_007515097.1	jgi|Botrbrau1|1552|Bobra.0107s0040.1	jgi|Chabra1|351254|rna-CBR_g58788	jgi|Chleu1|2676|rna-CEUSTIGMA_g3223.t1	jgi|ChlNC64A_1|134109|IGS.gm_10_00400	jgi|Chloso1228_1|4624|CSI_122800009760-RA	jgi|Coc_C169_1|37723|fgenesh1_pm.14_#_157	GTX0465b1_007083-T1	GTX0468b53_003979-T1	GTX0493b23_006387-T1	jgi|TrebA12_1|12837|rna-gnl|WGS_VXIU|FRX49_03314-mRNA-1_mrna_FRX49_03314	jgi|Ulvmu1|10516|UM064_0054.1	jgi|Volca2_1|4553|Vocar.0017s0184.1	coassemb195_008432-T1	KN805353.1_403581-407878	BDIU01000117.1_139643-142924
OG0003121	jgi|Astpho2|5605|Aster-02858	jgi|Auxeprot1|5691|XM_011398578.1	jgi|Batpra1|2045|XM_007509361.1	jgi|Botrbrau1|10340|Bobra.0321s0015.1	jgi|Chabra1|330077|rna-CBR_g21828	jgi|Chleu1|1006|rna-CEUSTIGMA_g11260.t1	jgi|ChlNC64A_1|143236|IGS.gm_5_00565	jgi|Chloso1228_1|5280|CSI_122800001164-RA	jgi|Coc_C169_1|67257|estExt_Genemark1.C_140189	GTX0465b1_008375-T1	GTX0468b53_004517-T1	GTX0493b23_005376-T1	jgi|TrebA12_1|4426|rna-gnl|WGS_VXIU|FRX49_00694-mRNA-1_mrna_FRX49_00694	jgi|Ulvmu1|2153|UM129_0013.1	jgi|Volca2_1|13411|Vocar.0006s0096.1	coassemb195_003961-T1	KN805368.1_7021911-7023958	BDIU01000010.1_17044-18560
OG0003144	jgi|Astpho2|6213|gw1.00088.128.1_t	jgi|Auxeprot1|3405|XM_011397783.1	jgi|Batpra1|3927|XM_007514755.1	jgi|Botrbrau1|691|Bobra.160_2s0014.1	jgi|Chabra1|332018|rna-CBR_g23843	jgi|Chleu1|7226|rna-CEUSTIGMA_g5731.t1	jgi|ChlNC64A_1|138293|IGS.gm_20_00042	jgi|Chloso1228_1|6611|CSI_122800011085-RA	jgi|Coc_C169_1|33078|fgenesh1_kg.7_#_33_#_189_1_CBOZ_CBPA	GTX0465b1_003343-T1	GTX0468b53_005254-T1	GTX0493b23_003045-T1	jgi|TrebA12_1|1754|rna-gnl|WGS_VXIU|FRX49_04708-mRNA-1_mrna_FRX49_04708	jgi|Ulvmu1|323|UM001_0327.1	jgi|Volca2_1|1705|Vocar.0001s1534.1	coassemb195_009085-T1	KN805362.1_1659021-1662543	BDIU01000056.1_309555-311433
OG0003148	jgi|Astpho2|6310|fgenesh1_pm.00090_%23_4_t	jgi|Auxeprot1|6895|XM_011399704.1	jgi|Batpra1|5523|XM_007513233.1	jgi|Botrbrau1|21780|Bobra.0190s0007.1	jgi|Chabra1|338011|rna-CBR_g34665	jgi|Chleu1|8374|rna-CEUSTIGMA_g1056.t1	jgi|ChlNC64A_1|22974|e_gw1.9.114.1	jgi|Chloso1228_1|3449|CSI_122800008585-RA	jgi|Coc_C169_1|15913|e_gw1.8.237.1	GTX0465b1_007518-T1	GTX0468b53_001579-T1	GTX0493b23_011335-T1	jgi|TrebA12_1|4324|rna-gnl|WGS_VXIU|FRX49_13793-mRNA-1_mrna_FRX49_13793	jgi|Ulvmu1|492|UM001_0500.1	jgi|Volca2_1|5234|Vocar.0002s0035.1	coassemb195_007782-T1	KN805367.1_7754665-7759802	BDIU01000143.1_91718-95785
OG0003149	jgi|Astpho2|6321|Aster-08153	jgi|Auxeprot1|6176|XM_011398985.1	jgi|Batpra1|4624|XM_007514185.1	jgi|Botrbrau1|4105|Bobra.152_3s0053.1	jgi|Chabra1|332035|rna-CBR_g20984	jgi|Chleu1|8368|rna-CEUSTIGMA_g1050.t1	jgi|ChlNC64A_1|48776|fgenesh3_pm.C_scaffold_9000009	jgi|Chloso1228_1|3402|CSI_122800008538-RA	jgi|Coc_C169_1|39358|fgenesh1_pg.1_#_551	GTX0465b1_009756-T1	GTX0468b53_007794-T1	GTX0493b23_005882-T1	jgi|TrebA12_1|11569|rna-gnl|WGS_VXIU|FRX49_11544-mRNA-1_mrna_FRX49_11544	jgi|Ulvmu1|2611|UM014_0062.1	jgi|Volca2_1|10461|Vocar.0038s0049.2	coassemb195_007360-T1	KN805362.1_1811379-1815505	BDIU01000052.1_121083-127679
OG0003158	jgi|Astpho2|6538|fgenesh1_pm.00099_%23_5_t	jgi|Auxeprot1|4598|XM_011403684.1	jgi|Batpra1|2265|XM_007509180.1	jgi|Botrbrau1|12097|Bobra.0186s0020.1	jgi|Chabra1|355590|rna-CBR_g943	jgi|Chleu1|9719|rna-CEUSTIGMA_g1300.t1	jgi|ChlNC64A_1|26239|e_gw1.19.142.1	jgi|Chloso1228_1|1121|CSI_122800006831-RA	jgi|Coc_C169_1|30354|estExt_Genewise1Plus.C_130296	GTX0465b1_003867-T1	GTX0468b53_007713-T1	GTX0493b23_010592-T1	jgi|TrebA12_1|1257|rna-gnl|WGS_VXIU|FRX49_13060-mRNA-1_mrna_FRX49_13060	jgi|Ulvmu1|11096|UM070_0011.1	jgi|Volca2_1|10891|Vocar.0004s0266.1	coassemb195_003655-T1	KN805368.1_7629434-7636377	BDIU01000146.1_275905-279030
OG0003169	jgi|Astpho2|6827|e_gw1.00105.82.1_t	jgi|Auxeprot1|2343|XM_011401848.1	jgi|Batpra1|6777|XM_007512093.1	jgi|Botrbrau1|8451|Bobra.0237s0068.1	jgi|Chabra1|341516|rna-CBR_g36226	jgi|Chleu1|12219|rna-CEUSTIGMA_g9492.t1	jgi|ChlNC64A_1|34136|estExt_Genewise1Plus.C_30416	jgi|Chloso1228_1|10825|CSI_122800004642-RA	jgi|Coc_C169_1|36993|fgenesh1_pm.10_#_81	GTX0465b1_006026-T1	GTX0468b53_000576-T1	GTX0493b23_000971-T1	jgi|TrebA12_1|6258|rna-gnl|WGS_VXIU|FRX49_08201-mRNA-1_mrna_FRX49_08201	jgi|Ulvmu1|2298|UM013_0145.1	jgi|Volca2_1|15322|Vocar.0008s0321.1	coassemb195_001084-T1	KN805368.1_3311205-3320441	BDIU01000085.1_37805-42306
OG0003178	jgi|Astpho2|6988|fgenesh1_pm.00107_%23_16_t	jgi|Auxeprot1|2033|XM_011401633.1	jgi|Batpra1|3415|XM_007508182.1	jgi|Botrbrau1|9996|Bobra.0012s0085.1	jgi|Chabra1|335244|rna-CBR_g30801	jgi|Chleu1|8971|rna-CEUSTIGMA_g7045.t1	jgi|ChlNC64A_1|56155|estExt_fgenesh3_pm.C_100009	jgi|Chloso1228_1|9885|CSI_122800003743-RA	jgi|Coc_C169_1|68427|estExt_Genemark1.C_280015	GTX0465b1_001653-T1	GTX0468b53_007522-T1	GTX0493b23_004114-T1	jgi|TrebA12_1|13099|rna-gnl|WGS_VXIU|FRX49_12519-mRNA-1_mrna_FRX49_12519	jgi|Ulvmu1|4528|UM002_0254.1	jgi|Volca2_1|2274|Vocar.0011s0193.1	coassemb195_006420-T1	KN805359.1_1433888-1440716	BDIU01000068.1_134266-139607
